都道府県名|陽性者数 検査人数※3||％
北海道|3,681|89,907|4.1%
青森 ※3|271|5,750|4.7%
※3※4※5 岩手|30|5,655|0.5%
宮城 ※3※5|834|15,020|5.6%
秋田|67|2,642|2.5%
山形|86|6,749|1.3%
福島 ※3|412|31,153|1.3%
茨城|806|14,162|5.7%
栃木 ※3※5|498|45,708|1.1%
群馬 ※3※5|924|30,491|3.0%
埼玉 ※4|6,201|194,647|3.2%
千葉|5,310|135,455|3.9%
東京 ※1|32,429|627,902|5.2%
神奈川|9,261|209,445|4.4%
新潟 ※3※5|188|18,262|1.0%
富山 ※3※5|424|15,001|2.8%
石川 ※3|819|18,467|4.4%
福井 ※3|258|11,246|2.3%
山梨 ※3|225|11,926|1.9%
長野 ※3※5|357|24,098|1.5%
岐阜 ※5|729|27,877|2.6%
静岡 ※3※4|707|44,670|1.6%
※3※4※5 愛知|6,618|105,343|6.3%
三重 ※3|595|16,342|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|599|14,734|4.1%
京都|2,101|54,297|3.9%
大阪 ※3※5|13,676|250,416|5.5%
※3※4※5 兵庫|3,455|72,133|4.8%
奈良 ※5|726|25,726|2.8%
和歌山|286|10,623|2.7%
鳥取 ※3|43|5,889|0.7%
島根 ※5|141|6,281|2.2%
岡山 ※4|332|11,198|3.0%
広島 ※3|670|28,463|2.4%
山口 ※4|225|11,960|1.9%
徳島 ※3|167|7,566|2.2%
香川 ※5|104|14,083|0.7%
愛媛|117|4,434|2.6%
高知|144|3,671|3.9%
※3※4※5 福岡|5,276|171,300|3.1%
佐賀 ※3|268|7,612|3.5%
長崎|246|23,522|1.0%
熊本|847|20,748|4.1%
大分|160|21,889|0.7%
宮崎|372|8,807|4.2%
鹿児島|505|23,324|2.2%
沖縄 ※3|3,488|60,962|5.7%
長崎船 ※2 その他|149|0|-
合計|105,827|2,567,556|4.1%
