都道府県名|陽性者数 検査人数※3||％
北海道|5,880|113,037|5.2%
青森 ※3|280|6,271|4.5%
※3※4※5 岩手|86|6,865|1.3%
宮城 ※3※5|1,027|16,829|6.1%
秋田|74|3,152|2.3%
山形|100|7,078|1.4%
福島 ※3|453|36,109|1.3%
茨城|1,071|15,243|7.0%
栃木 ※3※5|527|48,922|1.1%
群馬 ※3※5|974|33,422|2.9%
埼玉 ※4|7,122|212,609|3.3%
千葉|6,003|148,372|4.0%
東京 ※1|35,722|686,965|5.2%
神奈川|10,575|229,196|4.6%
新潟 ※3※5|273|20,328|1.3%
富山 ※3※5|435|15,674|2.8%
石川 ※3|830|20,120|4.1%
福井 ※3|289|12,776|2.3%
山梨 ※3|291|12,727|2.3%
⾧野 ※3※5|525|27,127|1.9%
岐阜 ※5|855|30,444|2.8%
静岡 ※3※4|978|50,183|1.9%
※3※4※5 愛知|7,902|119,953|6.6%
三重 ※3|645|17,127|3.8%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5※6|696|14,966|4.7%
京都|2,356|58,824|4.0%
大阪 ※3※5|16,036|280,378|5.7%
※3※4※5 兵庫|4,120|79,834|5.2%
奈良 ※5|896|28,985|3.1%
和歌山|346|11,643|3.0%
鳥取 ※3|53|6,156|0.9%
島根 ※5|142|6,354|2.2%
岡山 ※4|430|14,762|2.9%
広島 ※3|710|30,887|2.3%
山口 ※4|285|13,795|2.1%
徳島 ※3|174|7,682|2.3%
香川 ※5|122|15,450|0.8%
愛媛|144|4,819|3.0%
高知|144|3,693|3.9%
※3※4※5 福岡|5,420|184,084|2.9%
佐賀 ※3|284|8,340|3.4%
⾧崎|252|25,087|1.0%
熊本|939|22,475|4.2%
大分|189|23,843|0.8%
宮崎|385|8,852|4.3%
鹿児島|558|25,132|2.2%
沖縄 ※3|3,833|65,427|5.9%
⾧崎船 ※2 その他|149|0|-
合計|121,580|2,831,997|4.3%
