都道府県名|陽性者数 検査人数※3||％
北海道|2,590|71,450|3.6%
青森 ※3|138|3,404|4.1%
※3※4※5 岩手|26|4,984|0.5%
宮城 ※3※5|538|12,525|4.3%
秋田|61|2,399|2.5%
山形|81|5,608|1.4%
福島 ※3|374|26,071|1.4%
茨城|731|13,484|5.4%
栃木 ※3※5|473|34,761|1.4%
群馬 ※3※5|806|26,941|3.0%
埼玉 ※4|5,476|170,524|3.2%
千葉|4,637|114,416|4.1%
東京 ※1|29,335|552,912|5.3%
神奈川|8,100|182,851|4.4%
新潟 ※3※5|180|17,092|1.1%
富山 ※3※5|422|14,157|3.0%
石川 ※3|795|15,695|5.1%
福井 ※3|256|10,717|2.4%
山梨 ※3|199|11,301|1.8%
⾧野 ※3※5|327|21,561|1.5%
岐阜 ※5|651|25,391|2.6%
静岡 ※3※4|583|40,201|1.5%
※3※4※5 愛知|5,713|91,443|6.2%
三重 ※3|551|14,854|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|531|13,450|3.9%
京都|1,934|49,696|3.9%
大阪 ※3※5|11,702|217,762|5.4%
※3※4※5 兵庫|3,027|64,611|4.7%
奈良 ※5|618|23,550|2.6%
和歌山|260|10,021|2.6%
鳥取 ※3|35|5,567|0.6%
島根 ※5|140|6,066|2.3%
岡山 ※4|185|8,654|2.1%
広島 ※3|651|26,180|2.5%
山口 ※4|210|11,214|1.9%
徳島 ※3|163|7,304|2.2%
香川 ※5|99|12,691|0.8%
愛媛|116|4,274|2.7%
高知|140|3,591|3.9%
※3※4※5 福岡|5,153|154,248|3.3%
佐賀 ※3|253|6,774|3.7%
⾧崎|242|21,126|1.1%
熊本|754|18,644|4.0%
大分|159|19,633|0.8%
宮崎|366|8,729|4.2%
鹿児島|463|21,588|2.1%
沖縄 ※3|3,012|49,145|6.1%
⾧崎船 ※2 その他|149|0|-
合計|93,405|2,249,260|4.2%
