都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|370,259|2,312,166|10,039|1|358,217|2,078
青森|58,683|253,934|1,281|0|57,298|104
岩手|36,436|288,268|1,517|0|34,825|94
宮城|90,042|601,130|2,086|0|87,544|198
秋田|31,342|62,979|966|0|30,306|70
山形|29,345|197,099|670|0|28,581|94
福島|64,895|845,210|1,056|1|63,616|223
茨城|161,420|1,343,469|1,278|0|159,702|440
栃木|92,373|760,894|1,177|1|90,922|274
群馬|95,849|657,531|1,236|0|94,577|321
埼玉|557,928|2,885,084|4,645|2|551,641|1,642
千葉|455,206|2,137,268|3,616|1|447,563|1,782
東京|1,562,120|7,006,961|19,230|4|1,538,355|4,535
神奈川|764,152|2,180,686|6,050|5|755,887|2,215
新潟|73,736|666,061|1,100|1|72,545|91
富山|38,402|254,412|1,223|0|37,086|93
石川|57,908|476,150|1,450|0|56,239|196
福井|36,966|333,397|1,033|0|35,888|45
山梨|33,379|346,457|603|0|32,709|68
長野|75,549|743,524|1,239|0|74,101|203
岐阜|105,280|912,661|2,733|0|102,010|341
静岡|174,629|1,273,510|3,142|1|170,018|418
愛知|552,716|2,812,020|9,240|4|541,395|2,081
三重|84,303|538,285|1,433|1|84,566|306
滋賀|92,670|657,236|1,498|0|90,953|219
京都|206,972|849,291|2,862|4|203,093|726
大阪|990,549|7,248,093|14,107|12|971,346|5,096
兵庫|432,645|1,593,234|5,965|3|424,442|2,238
奈良|94,220|525,961|1,600|0|92,231|389
和歌山|43,077|176,100|475|0|42,275|117
鳥取|15,601|409,815|364|0|15,017|20
島根|17,415|221,138|355|0|17,045|15
岡山|101,477|597,565|2,154|1|97,944|248
広島|162,581|1,925,791|4,928|1|157,163|490
山口|46,821|587,797|1,402|0|45,241|178
徳島|23,150|219,956|669|1|22,397|85
香川|49,527|283,189|878|0|48,521|128
愛媛|41,582|372,833|1,403|1|40,039|140
高知|28,760|298,252|953|0|27,694|113
福岡|435,532|2,742,556|7,201|1|420,971|1,264
佐賀|53,742|285,017|1,004|0|50,271|106
長崎|61,353|401,554|2,500|0|59,094|124
熊本|101,834|288,215|3,513|3|98,026|295
大分|55,963|602,746|1,008|1|54,793|162
宮崎|55,481|193,001|1,584|0|53,828|144
鹿児島|87,424|427,983|2,887|0|84,035|204
沖縄|230,754|878,889|10,993|11|219,204|470
その他（その他）|149|0|0|0|149|0
合計|9,032,197|51,675,368|148,346|61|8,841,363|30,883
