都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|241,254|1,915,186|19,965|6|219,724|1,947
青森|39,994|204,207|4,797|0|35,109|88
岩手|20,882|224,976|3,249|1|17,553|80
宮城|63,288|476,313|5,732|3|56,816|176
秋田|18,966|52,544|3,023|2|15,894|49
山形|19,151|174,545|2,320|2|16,751|80
福島|40,971|699,604|5,438|2|35,333|200
茨城|124,921|44,830|7,740|3|116,791|390
栃木|68,411|683,960|6,403|3|61,755|253
群馬|74,773|557,906|4,700|1|69,778|295
埼玉|459,214|2,517,290|26,678|20|431,127|1,409
千葉|381,772|1,857,082|20,735|14|356,425|1,680
東京|1,318,898|6,141,221|104,781|29|1,209,883|4,234
神奈川|635,767|2,180,686|29,641|24|604,059|2,067
新潟|48,821|541,007|5,346|0|43,384|91
富山|29,561|216,636|2,416|4|27,060|85
石川|37,094|360,721|2,786|1|34,099|186
福井|22,963|270,807|1,209|1|21,709|45
山梨|24,979|253,702|1,851|1|23,074|64
長野|49,434|599,475|4,609|0|43,619|168
岐阜|73,843|751,565|4,718|1|68,224|317
静岡|130,247|1,066,008|8,576|1|119,951|386
愛知|433,560|2,370,814|22,491|20|409,083|1,986
三重|60,978|439,857|5,303|1|56,951|274
滋賀|73,118|535,583|4,471|0|68,448|199
京都|163,594|737,501|9,900|8|152,026|679
大阪|829,168|6,328,178|40,166|275|784,164|4,806
兵庫|348,976|1,388,472|15,548|10|331,292|2,136
奈良|77,890|457,115|8,230|8|69,307|353
和歌山|30,595|141,686|1,467|0|28,842|110
鳥取|9,970|314,925|698|0|9,161|14
島根|10,591|148,690|1,289|0|9,291|11
岡山|67,607|493,254|3,679|2|61,607|224
広島|105,068|1,571,842|10,495|4|94,122|451
山口|32,083|495,987|2,771|1|29,145|167
徳島|16,976|183,640|756|2|16,145|79
香川|32,347|233,420|2,521|2|29,712|114
愛媛|27,424|304,842|2,506|4|24,787|131
高知|18,337|224,027|1,374|2|16,862|101
福岡|323,552|2,304,134|30,944|9|284,220|1,152
佐賀|35,431|225,892|3,048|0|29,668|92
長崎|35,729|315,741|3,546|0|33,684|117
熊本|69,261|237,793|5,346|6|63,639|276
大分|35,935|497,163|3,246|2|32,544|145
宮崎|30,018|159,750|4,825|2|25,148|119
鹿児島|50,104|322,902|5,772|0|43,426|171
沖縄|133,040|683,069|9,950|7|122,655|441
その他（その他）|149|0|0|0|149|0
合計|6,976,705|42,906,548|477,055|484|6,454,196|28,638
