都道府県名|陽性者数 検査人数※3||％
北海道|2,296|62,719|3.7%
青森 ※3|37|2,590|1.4%
※3※4※5 岩手|24|4,599|0.5%
宮城 ※3※5|461|11,240|4.1%
秋田|58|2,309|2.5%
山形|81|5,276|1.5%
福島 ※3|295|22,225|1.3%
茨城|700|12,878|5.4%
栃木 ※3|443|33,095|1.3%
群馬 ※3※5|747|24,420|3.1%
埼玉 ※4|4,951|152,490|3.2%
千葉|4,232|104,100|4.1%
東京 ※1|27,320|500,147|5.5%
神奈川|7,408|167,935|4.4%
新潟 ※3※5|176|16,176|1.1%
富山 ※3※5|422|13,250|3.2%
石川 ※3|780|14,182|5.5%
福井 ※3|249|10,074|2.5%
山梨 ※3|196|10,962|1.8%
長野 ※3※5|318|20,010|1.6%
岐阜 ※5|632|24,022|2.6%
静岡 ※3※4|565|37,352|1.5%
※3※4※5 愛知|5,493|83,343|6.6%
三重 ※3|535|13,981|3.8%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|511|12,692|4.0%
京都|1,809|45,380|4.0%
大阪 ※3※5|11,057|199,072|5.6%
※3※4※5 兵庫|2,865|60,098|4.8%
奈良 ※5|595|21,963|2.7%
和歌山|249|9,647|2.6%
鳥取 ※3|36|5,517|0.7%
島根 ※5|140|5,907|2.4%
岡山 ※4|163|8,654|1.9%
広島 ※3|620|22,098|2.8%
山口 ※4|208|10,465|2.0%
徳島 ※3|149|7,069|2.1%
香川 ※5|93|11,409|0.8%
愛媛|115|4,175|2.8%
高知|138|3,528|3.9%
※3※4※5 福岡|5,077|142,188|3.6%
佐賀 ※3|248|6,267|4.0%
長崎|239|19,716|1.2%
熊本|652|17,242|3.8%
大分|158|17,988|0.9%
宮崎|344|8,656|4.0%
鹿児島|447|20,254|2.2%
沖縄 ※3|2,710|43,113|6.3%
長崎船 ※2 その他|149|0|-
合計|87,191|2,052,473|4.2%
