都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|225,052|1,858,794|16,611|3|205,954|1,935
青森|36,445|196,785|4,127|0|32,235|83
岩手|18,471|217,395|2,349|0|16,045|77
宮城|58,536|458,698|5,526|4|52,294|174
秋田|16,595|51,107|2,432|3|14,117|46
山形|17,785|171,506|2,082|2|15,180|79
福島|36,453|682,576|3,832|3|32,423|198
茨城|115,030|44,762|7,835|4|106,818|377
栃木|63,267|664,422|6,343|1|56,679|245
群馬|70,509|547,317|5,001|2|65,224|284
埼玉|432,387|2,456,373|27,936|24|403,056|1,395
千葉|360,032|1,812,531|18,956|17|336,860|1,657
東京|1,258,633|6,001,522|99,047|30|1,155,408|4,178
神奈川|605,051|2,180,686|32,559|28|570,466|2,026
新潟|43,210|524,938|4,221|0|38,899|90
富山|28,128|212,439|2,851|2|25,199|78
石川|34,553|351,571|2,153|4|32,194|184
福井|21,444|263,629|1,251|0|20,152|41
山梨|23,382|248,105|1,799|1|21,525|64
長野|44,580|582,039|4,077|0|39,826|167
岐阜|69,194|733,205|3,964|1|64,389|314
静岡|122,606|1,059,734|7,809|1|113,694|376
愛知|413,167|2,326,478|19,910|18|391,288|1,969
三重|56,192|430,346|4,182|5|53,239|265
滋賀|69,454|522,959|5,019|2|64,244|191
京都|156,210|721,385|9,427|11|145,129|669
大阪|798,479|6,205,662|36,729|293|757,028|4,701
兵庫|334,167|1,358,385|15,044|16|317,023|2,109
奈良|74,748|448,383|9,557|9|64,844|347
和歌山|28,579|136,518|1,099|0|27,196|110
鳥取|9,363|305,041|739|0|8,504|12
島根|9,507|141,330|1,036|0|8,460|11
岡山|63,317|483,667|2,953|1|58,933|223
広島|97,041|1,507,872|8,323|1|88,270|448
山口|29,681|484,444|2,483|1|27,034|164
徳島|16,244|179,524|827|1|15,342|79
香川|29,943|226,435|2,659|1|27,171|113
愛媛|25,131|296,586|2,354|4|22,648|129
高知|17,209|216,923|1,345|1|15,763|101
福岡|304,633|2,245,244|25,915|9|270,826|1,135
佐賀|32,503|217,625|2,497|0|27,401|88
長崎|33,245|307,999|2,950|1|31,669|116
熊本|65,163|229,879|4,534|5|60,357|272
大分|32,634|481,754|2,594|1|29,896|144
宮崎|26,056|151,802|2,453|0|23,560|117
鹿児島|44,696|308,925|4,772|1|39,009|170
沖縄|123,466|658,752|7,347|7|115,684|441
その他（その他）|149|0|0|0|149|0
合計|6,592,320|41,914,052|439,509|518|6,109,304|28,192
