都道府県名|陽性者数 検査人数※3||％
北海道|10,805|183,390|5.9%
青森 ※3|364|7,849|4.6%
※3※4※5 岩手|252|10,662|2.4%
宮城 ※3※5|1,417|21,113|6.7%
秋田|90|3,746|2.4%
山形|218|8,932|2.4%
福島 ※3|582|44,199|1.3%
茨城|1,935|17,774|10.9%
栃木 ※3※5|839|60,231|1.4%
群馬 ※3※5|1,572|42,544|3.7%
埼玉 ※4|10,101|260,942|3.9%
千葉|7,958|189,306|4.2%
東京 ※1|46,124|840,791|5.5%
神奈川|14,599|281,819|5.2%
新潟 ※3※5|380|24,145|1.6%
富山 ※3※5|462|18,434|2.5%
石川 ※3|899|24,571|3.7%
福井 ※3|331|16,507|2.0%
山梨 ※3|440|14,073|3.1%
長野 ※3※5|909|35,844|2.5%
岐阜 ※5|1,406|48,913|2.9%
静岡 ※3※4|2,087|67,934|3.1%
※3※4※5 愛知|12,123|152,984|7.9%
三重 ※3|1,028|24,205|4.2%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|852|30,612|2.8%
京都|3,076|73,836|4.2%
大阪 ※3※5|24,192|372,343|6.5%
※3※4※5 兵庫|6,994|109,727|6.4%
奈良 ※5|1,433|38,382|3.7%
和歌山|545|14,702|3.7%
鳥取 ※3※4|67|19,438|0.3%
島根 ※5|165|7,659|2.2%
岡山 ※4|702|24,136|2.9%
広島 ※3|1,322|43,500|3.0%
山口 ※4|429|22,347|1.9%
徳島 ※3|187|13,790|1.4%
香川 ※5|198|19,091|1.0%
愛媛|356|9,639|3.7%
高知|312|4,483|7.0%
※3※4※5 福岡|6,343|221,015|2.9%
佐賀 ※3|371|11,401|3.3%
長崎|290|29,313|1.0%
熊本|1,184|27,352|4.3%
大分|490|32,945|1.5%
宮崎|584|10,923|5.3%
鹿児島|741|30,031|2.5%
沖縄 ※3|4,735|78,522|6.0%
長崎船 ※2 その他|149|0|-
合計|172,638|3,646,095|4.7%
