都道府県名|陽性者数 検査人数※3||％
北海道|2,217|60,281|3.7%
青森 ※3|37|2,518|1.5%
※3※4※5 岩手|24|4,407|0.5%
宮城 ※3※5|433|10,976|3.9%
秋田|58|2,250|2.6%
山形|78|5,225|1.5%
福島 ※3|272|21,225|1.3%
茨城|681|12,699|5.4%
栃木 ※3|442|32,382|1.4%
群馬 ※3※5|733|23,493|3.1%
埼玉 ※4|4,840|148,915|3.3%
千葉|4,110|99,323|4.1%
東京 ※1|26,727|483,688|5.5%
神奈川|7,212|160,797|4.5%
新潟 ※3※5|170|15,839|1.1%
富山 ※3※5|422|12,816|3.3%
石川 ※3|778|13,778|5.6%
福井 ※3|246|9,923|2.5%
山梨 ※3|195|10,846|1.8%
長野 ※3※5|313|19,595|1.6%
岐阜 ※5|631|23,549|2.7%
静岡 ※3※4|558|36,458|1.5%
※3※4※5 愛知|5,449|80,350|6.8%
三重 ※3|530|13,479|3.9%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|507|12,368|4.1%
京都|1,791|44,457|4.0%
大阪 ※3※5|10,899|193,368|5.6%
※3※4※5 兵庫|2,804|58,696|4.8%
奈良 ※5|581|21,517|2.7%
和歌山|242|9,395|2.6%
鳥取 ※3|36|5,505|0.7%
島根 ※5|140|5,858|2.4%
岡山 ※4|161|8,654|1.9%
広島 ※3|605|21,475|2.8%
山口 ※4|204|10,197|2.0%
徳島 ※3|149|7,018|2.1%
香川 ※5|93|11,167|0.8%
愛媛|115|4,138|2.8%
高知|138|3,513|3.9%
※3※4※5 福岡|5,057|138,184|3.7%
佐賀 ※3|246|6,199|4.0%
長崎|238|19,226|1.2%
熊本|639|16,954|3.8%
大分|158|17,483|0.9%
宮崎|344|8,635|4.0%
鹿児島|440|19,713|2.2%
沖縄 ※3|2,629|41,446|6.3%
長崎船 ※2 その他|149|0|-
合計|85,521|1,989,978|4.3%
