都道府県名|陽性者数 検査人数||％
北海道|17,840|330,654|5.4%
青森|736|13,540|5.4%
岩手|509|20,679|2.5%
宮城|3,440|48,777|7.1%
秋田|267|6,741|4.0%
山形|516|15,497|3.3%
福島|1,759|89,071|2.0%
茨城|4,978|23,626|21.1%
栃木|3,830|109,271|3.5%
群馬|4,022|78,273|5.1%
埼玉|26,091|471,071|5.5%
千葉|23,150|338,727|6.8%
東京|102,200|1,356,692|7.5%
神奈川|41,628|513,676|8.1%
新潟|941|37,633|2.5%
富山|876|32,089|2.7%
石川|1,494|42,124|3.5%
福井|519|27,716|1.9%
山梨|907|14,741|6.2%
長野|2,319|85,788|2.7%
岐阜|4,347|108,699|4.0%
静岡|4,672|152,937|3.1%
愛知|24,316|330,276|7.4%
三重|2,285|46,585|4.9%
都道府県名|陽性者数 検査人数||％
滋賀|2,200|60,561|3.6%
京都|8,609|136,005|6.3%
大阪|44,562|670,804|6.6%
兵庫|16,782|209,193|8.0%
奈良|3,148|71,540|4.4%
和歌山|1,091|22,310|4.9%
鳥取|204|35,796|0.6%
島根|273|12,166|2.2%
岡山|2,375|51,686|4.6%
広島|4,856|120,841|4.0%
山口|1,279|49,814|2.6%
徳島|392|22,592|1.7%
香川|678|38,795|1.7%
愛媛|1,000|25,725|3.9%
高知|852|6,949|12.3%
福岡|16,434|381,862|4.3%
佐賀|970|24,461|4.0%
長崎|1,540|58,931|2.6%
熊本|3,368|54,519|6.2%
大分|1,206|66,669|1.8%
宮崎|1,873|23,910|7.8%
鹿児島|1,640|57,727|2.8%
沖縄|7,749|129,649|6.0%
長崎船 その他|149|0|-
合計|396,872|6,627,388|6.0%
