都道府県名|陽性者数 検査人数※3||％
北海道|14,717|260,605|5.6%
青森 ※3|561|11,166|5.0%
※3※4※5 岩手|429|15,628|2.7%
宮城 ※3※5|2,582|26,359|9.8%
秋田|173|4,891|3.5%
山形|433|11,075|3.9%
福島 ※3|1,225|64,642|1.9%
茨城|3,140|19,492|16.1%
栃木 ※3※5|2,510|82,123|3.1%
群馬 ※3※5|2,872|58,301|4.9%
埼玉 ※4|17,827|355,634|5.0%
千葉|14,218|246,224|5.8%
東京 ※1|74,944|1,083,806|6.9%
神奈川|27,344|381,811|7.2%
新潟 ※3※5|661|30,854|2.1%
富山 ※3※5|706|23,807|3.0%
石川 ※3|1,227|33,033|3.7%
福井 ※3|397|21,382|1.9%
山梨 ※3|676|14,741|4.6%
長野 ※3※5|1,609|55,758|2.9%
岐阜 ※5|3,037|76,813|4.0%
静岡 ※3※4|3,292|106,902|3.1%
※3※4※5 愛知|19,077|231,862|8.2%
三重 ※3|1,563|32,398|4.8%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,546|42,168|3.7%
京都|5,518|101,733|5.4%
大阪 ※3※5|34,452|520,494|6.6%
※3※4※5 兵庫|11,819|157,468|7.5%
奈良 ※5|2,357|53,820|4.4%
和歌山|763|17,677|4.3%
鳥取 ※3※4|165|27,458|0.6%
島根 ※5|227|9,344|2.4%
岡山 ※4|1,807|35,839|5.0%
広島 ※3|4,012|86,026|4.7%
山口 ※4|706|32,146|2.2%
徳島 ※3|229|16,533|1.4%
香川 ※5|427|28,909|1.5%
愛媛|662|15,836|4.2%
高知|732|6,652|11.0%
※3※4※5 福岡|10,736|285,837|3.8%
佐賀 ※3|601|16,572|3.6%
長崎|1,016|44,929|2.3%
熊本|2,365|39,720|6.0%
大分|829|49,444|1.7%
宮崎|1,298|15,272|8.5%
鹿児島|1,189|44,599|2.7%
沖縄 ※3|5,903|94,941|6.2%
長崎船 ※2 その他|149|0|-
合計|284,728|4,992,724|5.7%
