都道府県名|陽性者数 検査人数※3||％
北海道|14,133|252,837|5.6%
青森 ※3|545|10,878|5.0%
※3※4※5 岩手|405|15,190|2.7%
宮城 ※3※5|2,373|25,563|9.3%
秋田|161|4,891|3.3%
山形|418|10,866|3.8%
福島 ※3|1,102|62,028|1.8%
茨城|2,820|19,356|14.6%
栃木 ※3※5|2,104|78,537|2.7%
群馬 ※3※5|2,635|57,440|4.6%
埼玉 ※4|16,399|344,905|4.8%
千葉|12,898|241,157|5.3%
東京 ※1|68,790|1,059,706|6.5%
神奈川|24,780|376,099|6.6%
新潟 ※3※5|611|29,311|2.1%
富山 ※3※5|635|23,562|2.7%
石川 ※3|1,176|31,784|3.7%
福井 ※3|380|20,534|1.9%
山梨 ※3|622|14,675|4.2%
長野 ※3※5|1,433|54,882|2.6%
岐阜 ※5|2,785|73,349|3.8%
静岡 ※3※4|3,004|105,103|2.9%
※3※4※5 愛知|17,879|231,862|7.7%
三重 ※3|1,429|30,675|4.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,424|40,945|3.5%
京都|5,375|100,127|5.4%
大阪 ※3※5|32,619|500,835|6.5%
※3※4※5 兵庫|10,916|150,200|7.3%
奈良 ※5|2,211|53,187|4.2%
和歌山|717|17,189|4.2%
鳥取 ※3※4|156|26,853|0.6%
島根 ※5|218|9,344|2.3%
岡山 ※4|1,649|35,839|4.6%
広島 ※3|3,740|86,026|4.3%
山口 ※4|656|32,146|2.0%
徳島 ※3|216|16,022|1.3%
香川 ※5|369|27,158|1.4%
愛媛|569|14,138|4.0%
高知|712|6,063|11.7%
※3※4※5 福岡|9,980|282,169|3.5%
佐賀 ※3|542|15,996|3.4%
長崎|855|43,052|2.0%
熊本|2,096|38,525|5.4%
大分|791|47,535|1.7%
宮崎|996|14,580|6.8%
鹿児島|1,157|42,440|2.7%
沖縄 ※3|5,677|93,560|6.1%
長崎船 ※2 その他|149|0|-
合計|263,307|4,869,119|5.4%
