都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|20,311|424,537|709|7|18,871|729
青森|895|22,869|69|0|806|20
岩手|585|41,011|25|0|530|30
宮城|4,524|78,128|642|3|3,855|27
秋田|277|7,258|9|0|262|6
山形|615|30,230|68|0|531|16
福島|2,300|133,019|263|13|1,934|103
茨城|6,377|25,439|318|5|5,936|123
栃木|4,419|162,877|181|0|4,168|70
群馬|4,808|105,705|160|3|4,554|94
埼玉|31,585|610,160|1,396|34|29,508|681
千葉|28,551|452,956|1,137|19|26,874|540
東京|117,261|1,677,725|2,947|47|112,682|1,632
神奈川|47,008|657,502|1,011|20|45,233|764
新潟|1,256|75,777|119|1|1,121|16
富山|920|39,826|13|2|879|28
石川|1,893|57,596|16|2|1,812|63
福井|553|34,057|7|0|521|25
山梨|955|29,599|12|0|925|18
長野|2,513|107,932|109|1|2,393|41
岐阜|4,826|150,939|60|6|4,646|120
静岡|5,487|228,845|181|0|5,197|109
愛知|26,626|436,037|477|11|25,580|569
三重|2,639|73,145|78|2|2,573|67
滋賀|2,686|82,230|113|5|2,522|51
京都|9,236|168,878|103|3|8,970|165
大阪|49,058|939,493|1,271|55|46,232|1,162
兵庫|18,795|278,415|617|43|17,606|572
奈良|3,503|90,358|80|6|3,374|49
和歌山|1,197|25,367|24|2|1,131|18
鳥取|210|44,852|0|0|205|2
島根|285|17,152|0|0|285|0
岡山|2,611|75,671|76|6|2,479|35
広島|5,070|173,745|19|4|4,937|103
山口|1,397|64,978|18|0|1,336|43
徳島|466|29,225|13|2|435|18
香川|779|48,671|20|0|741|18
愛媛|1,081|36,338|20|1|1,037|24
高知|912|7,331|11|3|882|19
福岡|18,678|486,394|421|12|17,934|323
佐賀|1,158|30,707|58|2|1,110|11
長崎|1,615|73,512|1|0|1,576|38
熊本|3,485|57,577|26|0|3,392|74
大分|1,300|88,348|9|0|1,269|22
宮崎|1,953|24,807|0|0|1,924|22
鹿児島|1,769|70,682|8|1|1,758|27
沖縄|8,727|157,486|387|3|8,223|123
（その他）|149|-|0|-|149|-
合計|453,304|8,735,386|13,302|324|430,898|8,810
