都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|61,157|1,221,947|124|1|59,570|1,472
青森|5,897|100,680|0|0|5,859|38
岩手|3,487|131,796|0|0|3,434|53
宮城|16,280|258,036|2|0|16,160|118
秋田|1,927|27,411|2|0|1,898|27
山形|3,582|109,886|27|0|3,499|56
福島|9,487|452,259|1|1|9,310|176
茨城|24,449|40,554|0|0|24,229|220
栃木|15,485|513,421|6|0|15,362|117
群馬|16,906|333,592|58|2|16,672|176
埼玉|115,857|1,589,477|67|5|114,733|1,057
千葉|100,481|1,185,884|25|0|99,418|1,028
東京|382,207|4,014,441|166|4|378,874|3,167
神奈川|169,296|1,761,586|88|2|167,894|1,314
新潟|8,030|311,536|14|0|7,955|61
富山|4,868|127,261|0|0|4,816|52
石川|7,969|207,775|1|0|7,817|129
福井|3,115|124,327|0|0|3,077|38
山梨|5,156|127,517|0|0|5,127|29
長野|8,885|352,965|1|0|8,843|97
岐阜|19,260|454,522|16|0|19,024|218
静岡|26,791|694,765|9|0|26,571|209
愛知|106,598|1,454,091|51|0|105,386|1,161
三重|14,815|258,315|3|0|14,976|163
滋賀|12,432|285,133|3|0|12,325|104
京都|35,991|456,494|16|0|35,683|291
大阪|203,166|4,033,897|130|7|199,972|3,064
兵庫|78,692|827,802|54|5|77,242|1,396
奈良|15,933|273,502|3|0|15,781|149
和歌山|5,303|67,485|1|0|5,135|62
鳥取|1,669|163,067|0|0|1,639|5
島根|1,732|62,214|2|0|1,725|5
岡山|15,543|298,358|62|1|15,321|136
広島|22,175|962,177|17|0|21,956|202
山口|5,792|206,698|4|0|5,695|93
徳島|3,291|113,299|1|0|3,224|66
香川|4,705|140,536|0|0|4,666|38
愛媛|5,412|167,414|2|0|5,328|82
高知|4,167|105,447|0|0|4,134|33
福岡|74,628|1,377,131|41|4|73,953|625
佐賀|5,866|115,869|0|0|5,891|30
長崎|6,119|196,851|0|0|6,046|73
熊本|14,395|124,741|0|0|14,259|136
大分|8,187|293,715|1|0|8,102|84
宮崎|6,151|73,043|0|0|6,094|41
鹿児島|9,103|174,478|0|0|9,037|66
沖縄|50,317|424,178|15|0|49,910|398
その他（その他）|149|0|0|0|149|0
合計|1,722,903|26,797,573|1,013|32|1,703,771|18,355
