都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|279,661|2,019,662|23,369|6|254,608|1,985
青森|45,895|217,054|4,912|0|40,889|94
岩手|26,181|244,710|3,379|1|22,718|84
宮城|71,789|510,313|5,698|3|65,652|185
秋田|23,466|56,722|2,582|1|20,830|54
山形|22,354|182,885|2,125|1|20,144|85
福島|49,698|745,547|5,181|2|44,311|206
茨城|140,555|45,308|5,271|3|134,869|415
栃木|78,013|707,657|7,249|1|70,500|264
群馬|82,070|589,154|3,995|1|77,769|306
埼玉|501,993|2,627,216|19,436|8|481,127|1,430
千葉|414,113|1,921,694|17,842|8|383,771|1,736
東京|1,415,397|6,389,291|78,078|16|1,333,009|4,310
神奈川|689,654|2,180,686|20,509|26|667,024|2,121
新潟|58,479|581,560|3,999|1|54,389|91
富山|31,472|225,625|1,587|0|29,795|90
石川|41,892|390,866|4,156|6|37,524|189
福井|26,173|287,701|1,108|1|25,020|45
山梨|27,977|274,619|1,174|0|26,749|67
長野|59,885|646,020|4,837|0|54,359|174
岐阜|82,927|792,548|4,546|0|77,673|323
静岡|143,354|1,138,476|6,608|1|136,171|398
愛知|471,543|2,478,090|24,325|15|445,207|2,011
三重|69,278|464,184|4,288|0|66,411|284
滋賀|79,215|574,737|3,988|0|75,016|211
京都|176,987|768,032|7,716|9|167,986|699
大阪|880,713|6,593,652|32,439|32|843,360|4,906
兵庫|377,010|1,446,340|12,270|13|362,563|2,181
奈良|83,613|476,228|7,133|3|76,115|365
和歌山|34,833|153,297|1,497|1|33,031|112
鳥取|11,677|339,945|1,017|0|10,502|14
島根|13,021|166,688|1,561|1|11,446|14
岡山|77,376|520,624|4,573|3|69,371|234
広島|121,524|1,662,088|11,509|7|109,555|460
山口|35,640|517,521|1,885|1|33,582|173
徳島|18,442|191,658|630|0|17,737|79
香川|37,689|246,967|2,664|0|34,907|118
愛媛|31,862|321,882|2,170|3|29,558|134
高知|20,593|244,539|1,285|2|19,204|104
福岡|359,573|2,423,506|27,566|10|324,411|1,192
佐賀|42,677|243,900|4,042|0|35,777|96
長崎|42,117|333,731|4,177|3|39,879|120
熊本|79,368|254,043|5,860|3|73,231|277
大分|41,773|523,607|2,642|0|38,981|150
宮崎|38,101|174,809|3,972|0|34,081|126
鹿児島|60,782|354,043|5,801|2|54,430|177
沖縄|153,804|733,089|10,987|6|142,356|447
その他（その他）|149|0|0|0|149|0
合計|7,672,358|44,982,514|413,638|200|7,207,747|29,336
