都道府県名|陽性者数 検査人数※3||％
北海道|16,578|296,993|5.6%
青森 ※3|677|12,455|5.4%
※3※4※5 岩手|487|18,808|2.6%
宮城 ※3※5|3,221|45,534|7.1%
秋田|242|6,089|4.0%
山形|457|13,066|3.5%
福島 ※3|1,584|76,841|2.1%
茨城|4,319|21,908|19.7%
栃木 ※3※5|3,527|98,784|3.6%
群馬 ※3※5|3,581|69,533|5.2%
埼玉 ※4|23,060|418,597|5.5%
千葉|19,918|302,123|6.6%
東京 ※1|92,904|1,232,156|7.5%
神奈川|37,474|455,639|8.2%
新潟 ※3※5|838|35,121|2.4%
富山 ※3※5|839|28,649|2.9%
石川 ※3|1,416|38,179|3.7%
福井 ※3|476|25,002|1.9%
山梨 ※3|874|14,741|5.9%
⾧野 ※3※5|2,155|69,826|3.1%
岐阜 ※5|3,907|96,096|4.1%
静岡 ※3※4|4,181|128,855|3.2%
※3※4※5 愛知|22,427|281,822|8.0%
三重 ※3|1,976|42,391|4.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,936|51,471|3.8%
京都|7,393|118,410|6.2%
大阪 ※3※5|41,033|603,837|6.8%
※3※4※5 兵庫|14,985|185,552|8.1%
奈良 ※5|2,833|63,299|4.5%
和歌山|975|20,208|4.8%
鳥取 ※3※4|189|31,811|0.6%
島根 ※5|242|11,764|2.1%
岡山 ※4|2,219|47,392|4.7%
広島 ※3|4,578|107,047|4.3%
山口 ※4|1,077|40,022|2.7%
徳島 ※3|359|19,831|1.8%
香川 ※5|586|34,634|1.7%
愛媛|931|22,607|4.1%
高知|818|6,693|12.2%
※3※4※5 福岡|14,621|343,861|4.3%
佐賀 ※3|886|21,777|4.1%
⾧崎|1,359|52,644|2.6%
熊本|3,076|48,014|6.4%
大分|1,032|58,344|1.8%
宮崎|1,696|20,872|8.1%
鹿児島|1,497|52,400|2.9%
沖縄 ※3|6,939|115,893|6.0%
⾧崎船 ※2 その他|149|0|-
合計|358,527|5,907,591|6.1%
