都道府県名|陽性者数 検査人数||％
北海道|18,944|373,112|5.1%
青森|813|17,189|4.7%
岩手|553|24,399|2.3%
宮城|3,576|66,942|5.3%
秋田|269|7,031|3.8%
山形|538|17,288|3.1%
福島|1,890|107,545|1.8%
茨城|5,669|24,848|22.8%
栃木|4,060|123,380|3.3%
群馬|4,416|90,366|4.9%
埼玉|28,920|537,544|5.4%
千葉|25,892|392,816|6.6%
東京|110,400|1,503,144|7.3%
神奈川|44,371|577,376|7.7%
新潟|1,052|42,725|2.5%
富山|905|35,582|2.5%
石川|1,822|49,100|3.7%
福井|544|31,512|1.7%
山梨|936|24,827|3.8%
長野|2,359|96,646|2.4%
岐阜|4,700|129,767|3.6%
静岡|5,070|182,775|2.8%
愛知|25,696|382,966|6.7%
三重|2,574|60,178|4.3%
都道府県名|陽性者数 検査人数||％
滋賀|2,424|71,616|3.4%
京都|9,032|152,835|5.9%
大阪|46,841|768,670|6.1%
兵庫|17,844|242,054|7.4%
奈良|3,344|80,389|4.2%
和歌山|1,161|24,298|4.8%
鳥取|208|39,894|0.5%
島根|284|15,115|1.9%
岡山|2,474|63,400|3.9%
広島|5,008|149,875|3.3%
山口|1,372|58,758|2.3%
徳島|448|25,819|1.7%
香川|750|43,774|1.7%
愛媛|1,056|31,289|3.4%
高知|884|7,091|12.5%
福岡|17,890|433,031|4.1%
佐賀|1,032|27,223|3.8%
長崎|1,609|66,146|2.4%
熊本|3,438|56,482|6.1%
大分|1,288|77,608|1.7%
宮崎|1,949|24,664|7.9%
鹿児島|1,758|66,588|2.6%
沖縄|8,121|142,879|5.7%
長崎船 その他|149|0|-
合計|426,333|7,568,556|5.6%
