都道府県名|陽性者数 検査人数※3||％
北海道|6,380|119,279|5.3%
青森 ※3|280|6,349|4.4%
※3※4※5 岩手|112|7,411|1.5%
宮城 ※3※5|1,061|17,169|6.2%
秋田|74|3,155|2.3%
山形|107|7,144|1.5%
福島 ※3|466|36,945|1.3%
茨城|1,139|15,503|7.3%
栃木 ※3※5|550|49,184|1.1%
群馬 ※3※5|1,016|33,976|3.0%
埼玉 ※4|7,326|216,902|3.4%
千葉|6,199|153,635|4.0%
東京 ※1|36,778|701,481|5.2%
神奈川|10,988|234,414|4.7%
新潟 ※3※5|286|20,632|1.4%
富山 ※3※5|441|16,124|2.7%
石川 ※3|831|20,483|4.1%
福井 ※3|298|13,346|2.2%
山梨 ※3|298|12,801|2.3%
長野 ※3※5|567|27,741|2.0%
岐阜 ※5|890|30,992|2.9%
静岡 ※3※4|1,111|51,416|2.2%
※3※4※5 愛知|8,262|122,758|6.7%
三重 ※3|684|18,271|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5※6|720|24,685|2.9%
京都|2,409|60,062|4.0%
大阪 ※3※5|16,744|288,368|5.8%
※3※4※5 兵庫|4,355|82,174|5.3%
奈良 ※5|952|29,663|3.2%
和歌山|372|11,946|3.1%
鳥取 ※3|53|6,185|0.9%
島根 ※5|142|6,498|2.2%
岡山 ※4|458|17,220|2.7%
広島 ※3|726|31,670|2.3%
山口 ※4|326|13,795|2.4%
徳島 ※3|176|7,712|2.3%
香川 ※5|127|15,760|0.8%
愛媛|164|5,091|3.2%
高知|144|3,700|3.9%
※3※4※5 福岡|5,477|187,533|2.9%
佐賀 ※3|290|8,602|3.4%
長崎|254|25,507|1.0%
熊本|951|22,677|4.2%
大分|208|24,521|0.8%
宮崎|398|8,918|4.5%
鹿児島|592|25,683|2.3%
沖縄 ※3|3,925|66,496|5.9%
長崎船 ※2 その他|149|0|-
合計|126,256|2,911,577|4.3%
