都道府県名|陽性者数 検査人数※3||％
北海道|14,852|262,326|5.7%
青森 ※3|567|11,261|5.0%
※3※4※5 岩手|432|15,752|2.7%
宮城 ※3※5|2,640|26,467|10.0%
秋田|174|4,891|3.6%
山形|434|11,085|3.9%
福島 ※3|1,253|65,238|1.9%
茨城|3,207|19,492|16.5%
栃木 ※3※5|2,616|82,698|3.2%
群馬 ※3※5|2,908|58,301|5.0%
埼玉 ※4|18,174|356,904|5.1%
千葉|14,558|247,538|5.9%
東京 ※1|76,163|1,083,806|7.0%
神奈川|28,036|381,811|7.3%
新潟 ※3※5|679|30,998|2.2%
富山 ※3※5|716|23,807|3.0%
石川 ※3|1,233|33,116|3.7%
福井 ※3|399|21,414|1.9%
山梨 ※3|676|14,741|4.6%
長野 ※3※5|1,682|55,758|3.0%
岐阜 ※5|3,087|77,253|4.0%
静岡 ※3※4|3,376|106,902|3.2%
※3※4※5 愛知|19,420|231,862|8.4%
三重 ※3|1,586|32,398|4.9%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,570|42,370|3.7%
京都|5,518|101,733|5.4%
大阪 ※3※5|34,932|523,197|6.7%
※3※4※5 兵庫|12,088|159,074|7.6%
奈良 ※5|2,388|53,820|4.4%
和歌山|777|17,840|4.4%
鳥取 ※3※4|165|27,649|0.6%
島根 ※5|227|9,344|2.4%
岡山 ※4|1,859|35,839|5.2%
広島 ※3|4,068|86,026|4.7%
山口 ※4|719|32,146|2.2%
徳島 ※3|230|16,599|1.4%
香川 ※5|441|29,188|1.5%
愛媛|689|16,051|4.3%
高知|734|6,165|11.9%
※3※4※5 福岡|11,346|291,280|3.9%
佐賀 ※3|608|16,742|3.6%
長崎|1,016|45,149|2.3%
熊本|2,429|40,894|5.9%
大分|838|49,528|1.7%
宮崎|1,327|15,272|8.7%
鹿児島|1,245|44,904|2.8%
沖縄 ※3|5,944|95,543|6.2%
長崎船 ※2 その他|149|0|-
合計|290,175|5,012,172|5.8%
