都道府県名|陽性者数 検査人数※3||％
北海道|16,760|301,150|5.6%
青森 ※3|681|12,578|5.4%
※3※4※5 岩手|488|19,008|2.6%
宮城 ※3※5|3,269|46,710|7.0%
秋田|250|6,324|4.0%
山形|458|13,459|3.4%
福島 ※3|1,624|78,494|2.1%
茨城|4,410|22,458|19.6%
栃木 ※3※5|3,574|99,833|3.6%
群馬 ※3※5|3,636|71,018|5.1%
埼玉 ※4|23,595|424,382|5.6%
千葉|20,537|306,669|6.7%
東京 ※1|94,508|1,247,920|7.6%
神奈川|38,379|467,139|8.2%
新潟 ※3※5|850|35,320|2.4%
富山 ※3※5|847|28,955|2.9%
石川 ※3|1,423|38,349|3.7%
福井 ※3|484|25,092|1.9%
山梨 ※3|884|14,741|6.0%
⾧野 ※3※5|2,193|76,236|2.9%
岐阜 ※5|3,977|96,613|4.1%
静岡 ※3※4|4,283|132,712|3.2%
※3※4※5 愛知|22,837|290,168|7.9%
三重 ※3|2,024|42,391|4.8%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,995|52,545|3.8%
京都|7,759|120,598|6.4%
大阪 ※3※5|41,727|614,088|6.8%
※3※4※5 兵庫|15,388|189,069|8.1%
奈良 ※5|2,880|64,656|4.5%
和歌山|1,001|20,479|4.9%
鳥取 ※3※4|196|32,301|0.6%
島根 ※5|242|11,764|2.1%
岡山 ※4|2,249|47,392|4.7%
広島 ※3|4,622|107,047|4.3%
山口 ※4|1,110|40,022|2.8%
徳島 ※3|368|20,201|1.8%
香川 ※5|590|35,383|1.7%
愛媛|946|22,906|4.1%
高知|825|6,762|12.2%
※3※4※5 福岡|15,059|347,977|4.3%
佐賀 ※3|911|22,137|4.1%
⾧崎|1,408|53,364|2.6%
熊本|3,225|50,851|6.3%
大分|1,048|58,515|1.8%
宮崎|1,735|21,414|8.1%
鹿児島|1,543|52,929|2.9%
沖縄 ※3|7,055|118,197|6.0%
⾧崎船 ※2 その他|149|0|-
合計|366,002|6,008,316|6.1%
