都道府県名|陽性者数 検査人数※3||％
北海道|2,612|72,274|3.6%
青森 ※3|148|3,511|4.2%
※3※4※5 岩手|26|5,037|0.5%
宮城 ※3※5|544|12,635|4.3%
秋田|61|2,414|2.5%
山形|82|5,700|1.4%
福島 ※3|378|26,480|1.4%
茨城|735|13,508|5.4%
栃木 ※3※5|473|34,937|1.4%
群馬 ※3※5|820|27,239|3.0%
埼玉 ※4|5,521|172,103|3.2%
千葉|4,680|117,935|4.0%
東京 ※1|29,520|559,296|5.3%
神奈川|8,155|185,105|4.4%
新潟 ※3※5|180|17,179|1.0%
富山 ※3※5|422|14,206|3.0%
石川 ※3|796|15,845|5.0%
福井 ※3|256|10,735|2.4%
山梨 ※3|202|11,338|1.8%
長野 ※3※5|329|21,738|1.5%
岐阜 ※5|660|25,543|2.6%
静岡 ※3※4|585|40,487|1.4%
※3※4※5 愛知|5,749|91,971|6.3%
三重 ※3|551|15,019|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|533|13,541|3.9%
京都|1,945|50,131|3.9%
大阪 ※3※5|11,780|219,789|5.4%
※3※4※5 兵庫|3,040|64,967|4.7%
奈良 ※5|621|23,684|2.6%
和歌山|266|10,071|2.6%
鳥取 ※3|35|5,569|0.6%
島根 ※5|140|6,075|2.3%
岡山 ※4|188|8,654|2.2%
広島 ※3|651|26,448|2.5%
山口 ※4|211|11,288|1.9%
徳島 ※3|164|7,324|2.2%
香川 ※5|100|12,840|0.8%
愛媛|116|4,284|2.7%
高知|140|3,594|3.9%
※3※4※5 福岡|5,160|155,416|3.3%
佐賀 ※3|253|6,820|3.7%
長崎|242|21,285|1.1%
熊本|759|18,753|4.0%
大分|159|19,788|0.8%
宮崎|366|8,736|4.2%
鹿児島|463|21,644|2.1%
沖縄 ※3|3,048|49,742|6.1%
長崎船 ※2 その他|149|0|-
合計|94,014|2,272,678|4.1%
