都道府県名|陽性者数 検査人数||％
北海道|19,093|381,062|5.0%
青森|816|17,347|4.7%
岩手|554|26,654|2.1%
宮城|3,612|68,128|5.3%
秋田|269|7,032|3.8%
山形|543|17,488|3.1%
福島|1,947|112,232|1.7%
茨城|5,755|24,868|23.1%
栃木|4,093|125,100|3.3%
群馬|4,502|91,472|4.9%
埼玉|29,347|549,118|5.3%
千葉|26,395|405,008|6.5%
東京|111,676|1,529,534|7.3%
神奈川|44,899|587,587|7.6%
新潟|1,080|44,544|2.4%
富山|905|36,107|2.5%
石川|1,851|51,318|3.6%
福井|545|31,854|1.7%
山梨|939|25,903|3.6%
長野|2,364|97,594|2.4%
岐阜|4,722|134,083|3.5%
静岡|5,141|187,116|2.7%
愛知|25,830|389,359|6.6%
三重|2,528|63,656|4.0%
都道府県名|陽性者数 検査人数||％
滋賀|2,467|72,992|3.4%
京都|9,046|154,708|5.8%
大阪|47,123|788,301|6.0%
兵庫|17,943|247,844|7.2%
奈良|3,358|81,493|4.1%
和歌山|1,163|24,494|4.7%
鳥取|210|40,661|0.5%
島根|284|15,625|1.8%
岡山|2,484|66,389|3.7%
広島|5,022|157,847|3.2%
山口|1,382|58,758|2.4%
徳島|452|26,408|1.7%
香川|753|44,733|1.7%
愛媛|1,063|32,518|3.3%
高知|884|7,091|12.5%
福岡|18,038|441,889|4.1%
佐賀|1,057|28,057|3.8%
長崎|1,612|67,315|2.4%
熊本|3,439|56,787|6.1%
大分|1,293|79,520|1.6%
宮崎|1,951|24,715|7.9%
鹿児島|1,761|67,412|2.6%
沖縄|8,193|144,904|5.7%
長崎船 その他|149|0|-
合計|430,533|7,734,625|5.6%
