都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|407,678|2,476,191|13,890|3|388,773|2,109
青森|75,516|287,553|7,819|0|67,575|122
岩手|45,363|323,434|5,127|0|40,136|100
宮城|108,019|666,539|7,289|1|98,324|205
秋田|36,886|65,980|3,785|1|33,029|72
山形|35,159|207,707|3,335|0|31,725|99
福島|74,748|913,614|6,013|0|68,507|228
茨城|179,449|1,477,266|7,659|2|171,329|461
栃木|105,804|799,248|8,811|1|96,709|284
群馬|112,480|714,828|10,328|0|101,823|329
埼玉|646,108|3,133,293|53,919|9|590,520|1,669
千葉|527,817|2,324,540|32,648|5|480,588|1,820
東京|1,845,743|7,691,388|171,059|15|1,670,077|4,607
神奈川|891,026|3,492,373|53,638|31|835,134|2,254
新潟|85,985|728,047|6,736|1|79,158|91
富山|47,311|276,235|5,779|1|41,435|97
石川|69,284|551,665|6,180|1|62,881|200
福井|46,386|361,909|4,881|1|41,457|48
山梨|40,046|389,640|3,581|0|36,417|69
長野|88,942|813,522|5,901|0|81,172|206
岐阜|126,979|1,001,105|10,097|1|114,475|355
静岡|209,118|1,406,563|20,281|0|186,974|429
愛知|651,378|3,064,283|56,069|5|593,195|2,114
三重|103,075|585,201|9,678|0|95,302|321
滋賀|109,065|713,469|8,606|1|100,235|224
京都|242,077|914,924|18,819|33|218,871|762
大阪|1,170,891|7,883,310|116,383|24|1,049,260|5,248
兵庫|501,515|1,760,214|36,251|12|462,998|2,269
奈良|110,141|576,582|11,084|6|98,658|399
和歌山|54,735|202,311|4,965|1|49,412|122
鳥取|22,334|463,091|3,495|0|18,579|20
島根|35,225|273,942|9,136|0|26,056|33
岡山|116,664|644,258|3,019|0|105,212|253
広島|185,194|2,056,813|9,720|5|174,971|503
山口|59,414|642,271|7,129|0|52,098|187
徳島|29,047|242,729|2,995|2|25,979|86
香川|58,709|307,757|5,417|0|53,155|137
愛媛|58,742|419,734|9,314|1|49,283|145
高知|36,491|340,220|3,671|1|32,703|117
福岡|534,211|3,034,439|46,941|3|469,490|1,302
佐賀|73,861|320,467|8,016|0|60,552|118
長崎|80,252|486,754|8,152|1|72,001|134
熊本|150,524|348,863|18,477|5|131,713|334
大分|74,986|674,137|9,561|0|65,249|176
宮崎|71,808|200,544|8,148|0|63,401|153
鹿児島|118,464|489,413|13,391|1|102,251|219
沖縄|310,368|994,526|31,809|17|278,010|497
その他（その他）|149|0|0|0|149|0
合計|10,765,167|57,742,892|909,002|191|9,767,001|31,727
