都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|671,505|2,909,433|49,249|3|621,194|2,453
青森|142,132|372,776|17,547|0|124,337|248
岩手|94,960|420,204|8,639|3|86,153|168
宮城|233,112|838,113|22,561|12|204,624|318
秋田|85,392|72,420|18,958|1|66,267|167
山形|87,712|234,539|13,689|0|73,872|161
福島|160,549|1,088,146|21,337|4|138,968|244
茨城|327,226|1,654,084|20,823|6|301,424|603
栃木|200,927|917,058|19,188|3|181,295|444
群馬|207,556|845,391|22,637|7|187,338|429
埼玉|1,089,695|3,753,657|54,659|26|1,032,873|2,163
千葉|867,384|2,716,215|50,497|15|787,542|2,299
東京|2,974,679|8,967,118|147,229|35|2,822,011|5,439
神奈川|1,380,835|4,389,675|69,216|46|1,308,792|2,827
新潟|204,681|894,342|18,158|6|186,397|126
富山|112,623|337,469|16,024|2|96,447|152
石川|143,543|716,339|14,741|1|128,525|254
福井|100,114|433,356|8,910|3|91,115|89
山梨|86,060|486,368|7,048|1|78,900|127
長野|181,087|965,291|16,258|2|163,619|303
岐阜|261,877|1,214,153|22,872|2|236,830|508
静岡|440,065|1,702,623|37,108|5|385,992|679
愛知|1,235,786|3,808,576|106,949|28|1,126,162|2,675
三重|224,269|757,712|20,541|3|207,429|464
滋賀|208,480|903,144|17,421|5|190,770|289
京都|439,294|1,150,978|46,227|70|389,410|937
大阪|1,955,315|9,259,681|141,593|62|1,807,606|6,116
兵庫|924,239|2,332,805|62,216|32|859,355|2,673
奈良|206,268|699,276|52,367|8|153,414|487
和歌山|119,868|297,010|7,268|7|112,075|216
鳥取|54,684|660,581|9,369|3|44,778|65
島根|72,806|335,792|7,425|3|65,300|81
岡山|241,736|785,625|23,510|10|207,028|373
広島|376,811|2,543,993|70,869|6|305,277|665
山口|145,316|780,526|13,849|6|131,121|346
徳島|82,985|276,129|10,550|5|72,373|143
香川|126,897|381,432|13,323|4|113,317|257
愛媛|144,500|583,865|16,978|1|127,246|276
高知|88,508|445,490|13,943|6|74,337|256
福岡|1,008,684|3,760,489|87,590|12|900,869|1,789
佐賀|144,413|377,021|13,098|2|125,171|203
長崎|190,357|685,835|29,801|3|163,376|286
熊本|298,727|507,964|28,354|15|269,820|553
大分|159,104|841,216|10,660|4|148,150|294
宮崎|175,176|233,874|15,615|6|158,633|310
鹿児島|268,648|701,897|25,559|12|240,611|454
沖縄|481,801|1,147,679|20,935|23|459,794|637
その他（その他）|149|0|0|0|149|0
合計|19,428,535|70,187,360|1,543,358|519|17,758,086|41,046
