都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|21,433|463,328|854|20|19,797|764
青森|1,119|26,605|184|0|915|20
岩手|713|47,379|119|0|564|30
宮城|6,716|98,132|1,395|12|5,285|36
秋田|311|7,952|32|2|273|6
山形|1,106|38,147|238|2|851|17
福島|2,699|158,163|300|12|2,282|117
茨城|6,954|27,153|302|2|6,525|127
栃木|4,825|178,375|223|2|4,508|70
群馬|5,156|117,956|203|4|4,852|101
埼玉|33,766|669,909|1,572|32|31,485|709
千葉|30,279|489,361|1,041|14|28,657|581
東京|123,905|1,813,266|3,821|41|118,295|1,789
神奈川|48,893|718,132|992|23|47,112|789
新潟|1,620|88,121|226|2|1,376|18
富山|994|43,059|68|0|897|29
石川|1,987|61,980|89|1|1,831|65
福井|628|37,904|65|1|536|27
山梨|996|32,134|33|1|944|19
長野|3,030|123,848|266|0|2,693|42
岐阜|5,056|164,797|162|3|4,765|129
静岡|5,871|257,268|227|0|5,525|119
愛知|27,980|481,186|999|6|26,387|594
三重|2,896|79,034|232|2|2,676|72
滋賀|2,893|90,248|175|3|2,660|58
京都|9,844|182,629|459|4|9,234|173
大阪|56,626|1,109,497|6,185|158|48,766|1,199
兵庫|21,208|310,281|1,964|76|18,648|596
奈良|4,183|100,693|568|7|3,560|55
和歌山|1,422|27,787|189|8|1,190|18
鳥取|281|51,026|69|0|206|2
島根|289|18,022|3|0|286|0
岡山|2,804|81,422|82|3|2,575|36
広島|5,221|182,720|106|1|5,003|106
山口|1,443|68,811|37|0|1,363|43
徳島|624|33,830|140|4|464|20
香川|947|53,708|164|0|767|19
愛媛|1,595|42,675|447|4|1,124|24
高知|937|7,503|29|1|889|19
福岡|19,211|522,388|393|6|18,485|333
佐賀|1,240|33,147|67|0|1,179|13
長崎|1,646|79,565|19|0|1,588|39
熊本|3,530|58,455|30|2|3,426|74
大分|1,328|95,534|24|1|1,282|22
宮崎|1,966|24,930|21|1|1,924|22
鹿児島|1,886|75,119|67|0|1,803|28
沖縄|10,194|169,174|963|3|9,108|129
（その他）|149|-|0|-|149|-
合計|490,400|9,642,353|25,844|464|454,710|9,298
