都道府県名|陽性者数 検査人数※3||％
北海道|2,141|58,835|3.6%
青森 ※3|37|2,458|1.5%
※3※4※5 岩手|23|4,282|0.5%
宮城 ※3※5|418|10,599|3.9%
秋田|53|2,145|2.5%
山形|78|5,186|1.5%
福島 ※3|263|20,871|1.3%
茨城|671|12,623|5.3%
栃木 ※3|435|31,515|1.4%
群馬 ※3※5|725|22,789|3.2%
埼玉 ※4|4,765|145,483|3.3%
千葉|4,010|96,201|4.2%
東京 ※1|26,376|470,228|5.6%
神奈川|7,099|156,859|4.5%
新潟 ※3※5|170|15,645|1.1%
富山 ※3※5|422|12,509|3.4%
石川 ※3|777|13,505|5.8%
福井 ※3|244|9,869|2.5%
山梨 ※3|193|10,748|1.8%
長野 ※3※5|312|19,157|1.6%
岐阜 ※5|627|23,106|2.7%
静岡 ※3※4|551|34,985|1.6%
※3※4※5 愛知|5,403|78,742|6.9%
三重 ※3|525|13,034|4.0%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|503|12,139|4.1%
京都|1,767|43,228|4.1%
大阪 ※3※5|10,770|189,667|5.7%
※3※4※5 兵庫|2,767|57,586|4.8%
奈良 ※5|580|20,885|2.8%
和歌山|242|9,347|2.6%
鳥取 ※3|36|5,493|0.7%
島根 ※5|140|5,820|2.4%
岡山 ※4|158|8,110|1.9%
広島 ※3|597|21,121|2.8%
山口 ※4|201|10,005|2.0%
徳島 ※3|148|6,961|2.1%
香川 ※5|93|10,886|0.9%
愛媛|114|4,099|2.8%
高知|138|3,497|3.9%
※3※4※5 福岡|5,054|135,250|3.7%
佐賀 ※3|246|6,154|4.0%
長崎|238|18,873|1.3%
熊本|588|16,721|3.5%
大分|158|17,294|0.9%
宮崎|344|8,601|4.0%
鹿児島|422|19,261|2.2%
沖縄 ※3|2,569|40,378|6.4%
長崎船 ※2 その他|149|0|-
合計|84,340|1,942,750|4.3%
