都道府県名|陽性者数 検査人数※3||％
北海道|2,159|59,459|3.6%
青森 ※3|37|2,458|1.5%
※3※4※5 岩手|23|4,282|0.5%
宮城 ※3※5|425|10,803|3.9%
秋田|58|2,145|2.7%
山形|78|5,195|1.5%
福島 ※3|267|21,106|1.3%
茨城|676|12,623|5.4%
栃木 ※3|437|31,518|1.4%
群馬 ※3※5|728|22,851|3.2%
埼玉 ※4|4,800|145,670|3.3%
千葉|4,047|96,680|4.2%
東京 ※1|26,484|470,228|5.6%
神奈川|7,136|156,859|4.5%
新潟 ※3※5|170|15,659|1.1%
富山 ※3※5|422|12,509|3.4%
石川 ※3|777|13,530|5.7%
福井 ※3|244|9,872|2.5%
山梨 ※3|193|10,748|1.8%
長野 ※3※5|313|19,157|1.6%
岐阜 ※5|630|23,270|2.7%
静岡 ※3※4|551|34,985|1.6%
※3※4※5 愛知|5,419|79,108|6.9%
三重 ※3|527|13,267|4.0%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|505|12,148|4.2%
京都|1,767|43,228|4.1%
大阪 ※3※5|10,809|190,440|5.7%
※3※4※5 兵庫|2,783|58,020|4.8%
奈良 ※5|581|20,885|2.8%
和歌山|242|9,372|2.6%
鳥取 ※3|36|5,493|0.7%
島根 ※5|140|5,820|2.4%
岡山 ※4|158|8,110|1.9%
広島 ※3|603|21,121|2.9%
山口 ※4|201|10,079|2.0%
徳島 ※3|149|6,980|2.1%
香川 ※5|93|10,931|0.9%
愛媛|115|4,119|2.8%
高知|138|3,508|3.9%
※3※4※5 福岡|5,054|135,726|3.7%
佐賀 ※3|246|6,156|4.0%
長崎|238|18,928|1.3%
熊本|607|16,764|3.6%
大分|158|17,315|0.9%
宮崎|344|8,601|4.0%
鹿児島|428|19,261|2.2%
沖縄 ※3|2,588|40,691|6.4%
長崎船 ※2 その他|149|0|-
合計|84,733|1,947,678|4.4%
