都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|291,038|2,054,445|24,686|6|263,766|1,994
青森|47,394|222,442|4,971|0|42,327|96
岩手|27,421|249,391|3,468|1|23,867|86
宮城|73,924|520,543|5,858|1|67,419|188
秋田|24,698|57,189|2,739|1|21,902|57
山形|23,157|184,345|2,040|2|21,030|87
福島|51,570|754,173|5,177|3|46,181|212
茨城|143,249|1,240,444|4,684|2|138,144|421
栃木|80,589|714,395|6,124|2|74,200|265
群馬|83,724|596,291|4,332|1|79,555|308
埼玉|510,497|2,657,952|17,085|5|491,966|1,446
千葉|420,317|1,956,927|14,957|5|398,910|1,740
東京|1,435,784|6,447,158|77,584|12|1,353,872|4,328
神奈川|699,388|2,180,686|20,477|22|676,777|2,134
新潟|60,398|591,482|3,843|0|56,464|91
富山|32,015|228,134|1,515|0|30,409|91
石川|43,220|394,749|3,296|4|39,710|191
福井|26,909|292,927|1,165|1|25,699|45
山梨|28,419|274,619|1,210|0|27,155|67
長野|61,913|655,888|3,908|0|57,598|178
岐阜|85,320|808,125|4,834|0|79,728|324
静岡|146,159|1,151,870|6,460|0|137,963|402
愛知|480,256|2,501,023|24,966|10|453,273|2,017
三重|71,108|464,184|4,143|3|68,412|285
滋賀|80,789|580,304|3,952|0|76,624|213
京都|180,565|777,305|7,994|11|171,079|699
大阪|894,036|6,658,042|31,263|24|857,814|4,945
兵庫|382,737|1,460,230|12,375|10|368,175|2,189
奈良|84,655|481,414|6,972|2|77,318|365
和歌山|35,811|156,094|1,457|0|34,045|115
鳥取|12,120|349,681|1,165|0|10,796|14
島根|13,682|178,102|1,661|0|12,007|14
岡山|79,951|520,624|4,657|2|73,541|238
広島|125,139|1,705,414|11,989|10|112,686|464
山口|36,457|527,281|1,916|1|34,368|173
徳島|18,756|194,403|650|0|18,035|79
香川|39,079|251,033|2,709|0|36,250|120
愛媛|33,206|329,139|2,495|3|30,576|135
高知|21,334|245,014|1,335|2|19,895|104
福岡|369,021|2,458,477|18,816|8|341,755|1,210
佐賀|44,381|248,778|3,903|0|37,593|97
長崎|44,380|339,347|5,174|3|41,348|121
熊本|81,366|258,157|5,962|4|75,125|279
大分|43,632|534,915|3,157|0|40,319|156
宮崎|40,016|177,449|3,886|1|36,075|131
鹿児島|64,040|363,688|5,914|2|57,257|179
沖縄|160,109|744,013|11,815|7|147,813|447
その他（その他）|149|0|0|0|149|0
合計|7,833,878|46,738,286|400,739|171|7,386,970|29,540
