都道府県名|陽性者数 検査人数※3||％
北海道|3,301|84,892|3.9%
青森 ※3|245|5,267|4.7%
※3※4※5 岩手|27|5,399|0.5%
宮城 ※3※5|772|14,414|5.4%
秋田|64|2,503|2.6%
山形|86|6,231|1.4%
福島 ※3|391|29,647|1.3%
茨城|775|13,982|5.5%
栃木 ※3※5|492|43,764|1.1%
群馬 ※3※5|905|29,632|3.1%
埼玉 ※4|5,945|187,661|3.2%
千葉|5,119|128,210|4.0%
東京 ※1|31,502|604,642|5.2%
神奈川|8,868|203,062|4.4%
新潟 ※3※5|184|17,948|1.0%
富山 ※3※5|423|14,541|2.9%
石川 ※3|812|17,426|4.7%
福井 ※3|257|11,100|2.3%
山梨 ※3|216|11,769|1.8%
⾧野 ※3※5|349|23,290|1.5%
岐阜 ※5|698|27,193|2.6%
静岡 ※3※4|661|43,590|1.5%
※3※4※5 愛知|6,319|101,585|6.2%
三重 ※3|569|15,683|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|560|14,525|3.9%
京都|2,061|52,973|3.9%
大阪 ※3※5|12,876|237,923|5.4%
※3※4※5 兵庫|3,275|69,544|4.7%
奈良 ※5|675|24,985|2.7%
和歌山|277|10,479|2.6%
鳥取 ※3|38|5,777|0.7%
島根 ※5|141|6,281|2.2%
岡山 ※4|303|11,198|2.7%
広島 ※3|662|27,820|2.4%
山口 ※4|215|11,941|1.8%
徳島 ※3|164|7,500|2.2%
香川 ※5|102|13,637|0.7%
愛媛|116|4,392|2.6%
高知|144|3,651|3.9%
※3※4※5 福岡|5,238|166,647|3.1%
佐賀 ※3|264|7,279|3.6%
⾧崎|244|22,968|1.1%
熊本|814|19,849|4.1%
大分|159|21,258|0.7%
宮崎|369|8,799|4.2%
鹿児島|475|22,533|2.1%
沖縄 ※3|3,392|59,096|5.7%
⾧崎船 ※2 その他|149|0|-
合計|101,693|2,474,486|4.1%
