都道府県名|陽性者数 検査人数||％
北海道|18,235|343,499|5.3%
青森|790|15,767|5.0%
岩手|518|21,969|2.4%
宮城|3,483|49,566|7.0%
秋田|269|6,878|3.9%
山形|531|16,338|3.3%
福島|1,794|94,227|1.9%
茨城|5,246|24,220|21.7%
栃木|3,918|114,939|3.4%
群馬|4,178|82,684|5.1%
埼玉|27,173|494,100|5.5%
千葉|24,134|361,166|6.7%
東京|105,024|1,403,828|7.5%
神奈川|42,720|536,389|8.0%
新潟|972|38,862|2.5%
富山|883|33,203|2.7%
石川|1,596|44,754|3.6%
福井|528|28,785|1.8%
山梨|918|14,741|6.2%
長野|2,340|89,440|2.6%
岐阜|4,509|116,077|3.9%
静岡|4,785|171,062|2.8%
愛知|24,822|347,169|7.1%
三重|2,353|52,085|4.5%
都道府県名|陽性者数 検査人数||％
滋賀|2,270|63,197|3.6%
京都|8,798|141,570|6.2%
大阪|45,477|698,622|6.5%
兵庫|17,232|219,751|7.8%
奈良|3,233|74,734|4.3%
和歌山|1,118|22,967|4.9%
鳥取|207|37,113|0.6%
島根|278|13,515|2.1%
岡山|2,422|55,878|4.3%
広島|4,909|138,115|3.6%
山口|1,338|52,858|2.5%
徳島|402|23,298|1.7%
香川|708|40,912|1.7%
愛媛|1,026|27,842|3.7%
高知|864|6,980|12.4%
福岡|16,963|399,116|4.3%
佐賀|992|25,628|3.9%
長崎|1,569|61,891|2.5%
熊本|3,392|55,171|6.1%
大分|1,242|71,055|1.7%
宮崎|1,906|24,309|7.8%
鹿児島|1,685|60,543|2.8%
沖縄|7,928|134,957|5.9%
長崎船 その他|149|0|-
合計|407,827|6,951,770|5.9%
