都道府県名|陽性者数 検査人数※3||％
北海道|11,460|194,520|5.9%
青森 ※3|375|8,163|4.6%
※3※4※5 岩手|306|11,317|2.7%
宮城 ※3※5|1,531|21,856|7.0%
秋田|94|3,842|2.4%
山形|265|9,181|2.9%
福島 ※3|622|45,958|1.4%
茨城|2,012|17,994|11.2%
栃木 ※3※5|880|62,128|1.4%
群馬 ※3※5|1,683|43,085|3.9%
埼玉 ※4|10,543|266,533|4.0%
千葉|8,269|192,386|4.3%
東京 ※1|47,530|858,689|5.5%
神奈川|15,172|286,971|5.3%
新潟 ※3※5|408|24,569|1.7%
富山 ※3※5|474|19,105|2.5%
石川 ※3|916|25,019|3.7%
福井 ※3|332|16,651|2.0%
山梨 ※3|451|14,184|3.2%
⾧野 ※3※5|977|36,749|2.7%
岐阜 ※5|1,509|50,749|3.0%
静岡 ※3※4|2,199|69,589|3.2%
※3※4※5 愛知|12,706|153,696|8.3%
三重 ※3|1,072|24,205|4.4%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|869|31,392|2.8%
京都|3,267|75,779|4.3%
大阪 ※3※5|25,114|383,174|6.6%
※3※4※5 兵庫|7,339|114,190|6.4%
奈良 ※5|1,512|39,412|3.8%
和歌山|557|15,059|3.7%
鳥取 ※3※4|67|19,827|0.3%
島根 ※5|168|7,659|2.2%
岡山 ※4|702|24,136|2.9%
広島 ※3|1,634|48,780|3.3%
山口 ※4|437|22,347|2.0%
徳島 ※3|187|13,881|1.3%
香川 ※5|199|19,583|1.0%
愛媛|360|9,762|3.7%
高知|368|4,777|7.7%
※3※4※5 福岡|6,680|226,346|3.0%
佐賀 ※3|384|12,001|3.2%
⾧崎|321|30,156|1.1%
熊本|1,267|28,344|4.5%
大分|522|33,944|1.5%
宮崎|612|11,276|5.4%
鹿児島|837|32,158|2.6%
沖縄 ※3|4,824|80,078|6.0%
⾧崎船 ※2 その他|149|0|-
合計|180,162|3,741,200|4.8%
