都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|149,959|1,587,771|29,929|8|119,266|1,650
青森|17,180|150,740|3,288|0|13,838|54
岩手|7,794|168,042|1,997|1|5,742|55
宮城|34,031|364,121|6,567|13|26,563|127
秋田|7,608|39,968|1,883|2|5,694|31
山形|9,760|144,489|2,025|0|7,675|60
福島|21,291|581,353|3,541|4|17,568|182
茨城|60,517|43,645|8,322|16|51,940|255
栃木|38,767|606,781|7,234|6|31,377|156
群馬|45,460|464,896|7,565|12|37,662|233
埼玉|266,899|2,099,098|40,956|60|224,811|1,132
千葉|231,461|1,547,031|46,048|34|179,303|1,182
東京|880,113|5,231,132|179,564|80|697,145|3,404
神奈川|387,453|2,180,686|53,864|93|332,071|1,518
新潟|25,214|442,651|4,172|4|20,977|65
富山|13,431|173,797|4,820|2|8,554|57
石川|20,630|271,737|3,745|5|16,707|155
福井|9,707|192,499|1,545|4|8,124|38
山梨|14,228|186,746|2,399|4|11,796|39
長野|27,348|486,029|5,003|1|21,119|134
岐阜|45,956|617,227|7,914|6|36,901|251
静岡|74,643|923,339|13,490|4|60,043|288
愛知|266,420|1,929,959|41,150|50|223,866|1,404
三重|35,230|354,936|5,871|5|30,084|216
滋賀|39,986|402,463|8,664|3|31,202|120
京都|107,627|625,635|23,363|101|81,858|358
大阪|563,299|5,376,323|137,174|762|422,567|3,548
兵庫|224,340|1,170,495|54,952|47|167,750|1,652
奈良|45,859|380,330|14,106|22|31,544|209
和歌山|19,610|110,085|3,493|10|15,890|89
鳥取|5,167|235,217|762|0|4,323|8
島根|5,551|103,516|671|0|4,873|7
岡山|42,837|413,636|5,836|14|34,676|177
広島|66,602|1,341,347|19,172|18|47,101|329
山口|18,504|339,555|2,465|2|15,927|112
徳島|8,219|147,879|1,599|0|6,560|71
香川|14,731|187,356|3,025|3|11,635|58
愛媛|14,693|245,401|2,046|4|12,542|105
高知|10,293|162,061|2,279|11|7,954|60
福岡|202,759|1,909,652|44,574|19|151,782|810
佐賀|19,817|177,170|3,791|3|14,974|51
長崎|21,962|265,837|4,817|1|17,811|95
熊本|42,926|184,055|7,995|18|34,742|189
大分|20,732|403,476|2,842|0|17,796|94
宮崎|16,449|118,948|2,199|0|14,222|73
鹿児島|26,852|247,521|4,308|4|21,958|103
沖縄|93,757|568,991|5,239|24|88,102|421
その他（その他）|149|0|0|0|149|0
合計|4,323,821|35,905,622|838,264|1,480|3,446,764|21,425
