都道府県名|陽性者数 検査人数※3||％
北海道|13,972|248,977|5.6%
青森 ※3|537|10,782|5.0%
※3※4※5 岩手|402|14,933|2.7%
宮城 ※3※5|2,313|25,382|9.1%
秋田|159|4,876|3.3%
山形|417|10,710|3.9%
福島 ※3|1,073|60,960|1.8%
茨城|2,730|19,218|14.2%
栃木 ※3※5|1,974|77,151|2.6%
群馬 ※3※5|2,552|56,541|4.5%
埼玉 ※4|15,939|339,325|4.7%
千葉|12,449|238,660|5.2%
東京 ※1|66,343|1,045,327|6.3%
神奈川|24,101|370,679|6.5%
新潟 ※3※5|602|29,052|2.1%
富山 ※3※5|605|23,199|2.6%
石川 ※3|1,151|31,276|3.7%
福井 ※3|376|20,310|1.9%
山梨 ※3|622|14,675|4.2%
長野 ※3※5|1,354|54,168|2.5%
岐阜 ※5|2,694|71,564|3.8%
静岡 ※3※4|2,926|103,350|2.8%
※3※4※5 愛知|17,515|231,862|7.6%
三重 ※3|1,402|30,675|4.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,371|39,877|3.4%
京都|5,256|98,825|5.3%
大阪 ※3※5|32,012|491,431|6.5%
※3※4※5 兵庫|10,670|147,765|7.2%
奈良 ※5|2,184|52,687|4.1%
和歌山|696|17,035|4.1%
鳥取 ※3※4|149|26,013|0.6%
島根 ※5|216|9,344|2.3%
岡山 ※4|1,583|31,723|5.0%
広島 ※3|3,662|75,233|4.9%
山口 ※4|640|32,146|2.0%
徳島 ※3|216|15,862|1.4%
香川 ※5|337|26,310|1.3%
愛媛|541|14,011|3.9%
高知|700|6,048|11.6%
※3※4※5 福岡|9,980|278,115|3.6%
佐賀 ※3|521|15,796|3.3%
長崎|812|42,170|1.9%
熊本|2,036|38,126|5.3%
大分|772|46,653|1.7%
宮崎|996|14,118|7.1%
鹿児島|1,094|41,836|2.6%
沖縄 ※3|5,611|92,903|6.0%
長崎船 ※2 その他|149|0|-
合計|256,412|4,787,679|5.4%
