都道府県名|陽性者数 検査人数※3||％
北海道|3,566|88,202|4.0%
青森 ※3|269|5,625|4.8%
※3※4※5 岩手|29|5,633|0.5%
宮城 ※3※5|822|14,848|5.5%
秋田|67|2,642|2.5%
山形|86|6,747|1.3%
福島 ※3|410|30,813|1.3%
茨城|796|14,162|5.6%
栃木 ※3※5|496|45,618|1.1%
群馬 ※3※5|918|30,277|3.0%
埼玉 ※4|6,132|194,330|3.2%
千葉|5,249|134,785|3.9%
東京 ※1|32,135|624,458|5.1%
神奈川|9,124|209,445|4.4%
新潟 ※3※5|186|18,193|1.0%
富山 ※3※5|424|15,001|2.8%
石川 ※3|816|18,304|4.5%
福井 ※3|257|11,220|2.3%
山梨 ※3|225|11,926|1.9%
長野 ※3※5|351|24,098|1.5%
岐阜 ※5|726|27,736|2.6%
静岡 ※3※4|707|44,670|1.6%
※3※4※5 愛知|6,536|104,509|6.3%
三重 ※3|587|16,342|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|593|14,643|4.0%
京都|2,101|54,297|3.9%
大阪 ※3※5|13,485|248,414|5.4%
※3※4※5 兵庫|3,406|71,350|4.8%
奈良 ※5|713|25,726|2.8%
和歌山|280|10,566|2.7%
鳥取 ※3|38|5,786|0.7%
島根 ※5|141|6,281|2.2%
岡山 ※4|323|11,198|2.9%
広島 ※3|667|28,463|2.3%
山口 ※4|223|11,960|1.9%
徳島 ※3|167|7,536|2.2%
香川 ※5|104|13,911|0.7%
愛媛|117|4,434|2.6%
高知|144|3,667|3.9%
※3※4※5 福岡|5,268|170,366|3.1%
佐賀 ※3|267|7,480|3.6%
長崎|246|23,361|1.1%
熊本|843|20,618|4.1%
大分|160|21,701|0.7%
宮崎|372|8,807|4.2%
鹿児島|505|23,324|2.2%
沖縄 ※3|3,456|60,623|5.7%
長崎船 ※2 その他|149|0|-
合計|104,682|2,554,096|4.1%
