都道府県名|陽性者数 検査人数||％
北海道|19,066|379,662|5.0%
青森|816|17,347|4.7%
岩手|554|26,654|2.1%
宮城|3,597|68,100|5.3%
秋田|269|7,032|3.8%
山形|543|17,479|3.1%
福島|1,919|110,131|1.7%
茨城|5,740|24,868|23.1%
栃木|4,090|125,003|3.3%
群馬|4,491|91,472|4.9%
埼玉|29,250|547,979|5.3%
千葉|26,263|404,527|6.5%
東京|111,347|1,529,534|7.3%
神奈川|44,768|587,587|7.6%
新潟|1,076|44,330|2.4%
富山|905|36,107|2.5%
石川|1,845|51,120|3.6%
福井|545|31,810|1.7%
山梨|939|25,903|3.6%
長野|2,364|97,594|2.4%
岐阜|4,714|134,077|3.5%
静岡|5,126|187,116|2.7%
愛知|25,777|389,359|6.6%
三重|2,521|63,656|4.0%
都道府県名|陽性者数 検査人数||％
滋賀|2,462|72,807|3.4%
京都|9,046|154,708|5.8%
大阪|47,069|783,892|6.0%
兵庫|17,922|246,654|7.3%
奈良|3,356|81,493|4.1%
和歌山|1,162|24,457|4.8%
鳥取|210|40,638|0.5%
島根|284|15,625|1.8%
岡山|2,479|66,389|3.7%
広島|5,022|151,415|3.3%
山口|1,380|58,758|2.3%
徳島|450|26,373|1.7%
香川|752|44,331|1.7%
愛媛|1,062|32,499|3.3%
高知|884|7,091|12.5%
福岡|18,007|440,851|4.1%
佐賀|1,054|27,986|3.8%
長崎|1,610|67,208|2.4%
熊本|3,439|56,763|6.1%
大分|1,291|79,486|1.6%
宮崎|1,951|24,715|7.9%
鹿児島|1,761|67,412|2.6%
沖縄|8,178|144,852|5.6%
長崎船 その他|149|0|-
合計|429,505|7,714,850|5.6%
