都道府県名|陽性者数 検査人数||％
北海道|18,011|336,047|5.4%
青森|740|15,429|4.8%
岩手|513|21,161|2.4%
宮城|3,461|49,205|7.0%
秋田|269|6,756|4.0%
山形|526|15,770|3.3%
福島|1,775|91,113|1.9%
茨城|5,092|23,780|21.4%
栃木|3,871|112,740|3.4%
群馬|4,092|78,856|5.2%
埼玉|26,524|476,622|5.6%
千葉|23,615|342,439|6.9%
東京|103,416|1,372,936|7.5%
神奈川|42,117|520,223|8.1%
新潟|950|38,132|2.5%
富山|880|32,299|2.7%
石川|1,533|43,176|3.6%
福井|521|27,932|1.9%
山梨|908|14,741|6.2%
長野|2,329|86,509|2.7%
岐阜|4,409|111,656|3.9%
静岡|4,732|154,697|3.1%
愛知|24,503|333,828|7.3%
三重|2,298|52,085|4.4%
都道府県名|陽性者数 検査人数||％
滋賀|2,233|61,711|3.6%
京都|8,651|137,085|6.3%
大阪|44,959|681,853|6.6%
兵庫|16,989|213,425|8.0%
奈良|3,185|72,095|4.4%
和歌山|1,106|22,584|4.9%
鳥取|207|36,012|0.6%
島根|276|13,515|2.0%
岡山|2,390|55,878|4.3%
広島|4,872|120,841|4.0%
山口|1,292|49,814|2.6%
徳島|394|22,854|1.7%
香川|694|39,824|1.7%
愛媛|1,009|27,616|3.7%
高知|860|6,958|12.4%
福岡|16,434|388,270|4.2%
佐賀|976|24,953|3.9%
長崎|1,543|60,154|2.6%
熊本|3,372|54,767|6.2%
大分|1,223|68,859|1.8%
宮崎|1,879|24,027|7.8%
鹿児島|1,656|58,619|2.8%
沖縄|7,822|131,729|5.9%
長崎船 その他|149|0|-
合計|401,256|6,731,575|6.0%
