都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|61,684|1,286,980|207|0|59,959|1,475
青森|5,919|106,316|17|0|5,864|38
岩手|3,506|137,541|19|0|3,434|53
宮城|16,318|269,254|23|0|16,171|118
秋田|1,936|27,692|2|0|1,907|27
山形|3,624|116,645|18|0|3,550|56
福島|9,553|477,832|39|0|9,338|176
茨城|24,554|40,625|69|0|24,265|220
栃木|15,769|533,160|198|0|15,454|117
群馬|17,512|361,421|194|1|17,141|177
埼玉|116,407|1,671,991|389|1|114,959|1,059
千葉|100,959|1,254,504|203|1|99,617|1,028
東京|384,526|4,238,662|1,827|3|379,524|3,175
神奈川|170,205|1,864,074|450|2|168,436|1,319
新潟|8,309|334,849|108|0|8,138|63
富山|4,872|133,826|3|0|4,817|52
石川|8,072|216,256|60|0|7,853|137
福井|3,131|128,078|14|0|3,079|38
山梨|5,177|135,182|16|0|5,132|29
長野|9,081|374,321|125|0|8,904|97
岐阜|19,370|479,521|66|0|19,058|219
静岡|26,971|741,868|99|0|26,644|209
愛知|106,945|1,536,976|223|1|105,561|1,161
三重|14,837|273,776|19|0|14,983|163
滋賀|12,706|299,098|228|0|12,374|104
京都|36,490|478,914|282|12|35,795|292
大阪|204,869|4,296,897|1,233|46|200,572|3,064
兵庫|79,011|876,309|187|2|77,426|1,398
奈良|16,118|286,954|175|0|15,794|149
和歌山|5,323|68,784|19|0|5,136|62
鳥取|1,676|172,972|7|0|1,639|5
島根|1,800|64,047|67|0|1,728|5
岡山|15,609|310,392|2|0|15,417|136
広島|22,586|990,011|402|1|21,982|202
山口|6,305|222,391|457|0|5,755|93
徳島|3,300|118,301|11|0|3,225|66
香川|4,735|147,062|30|0|4,666|38
愛媛|5,427|175,138|15|0|5,330|82
高知|4,182|112,524|15|0|4,134|33
福岡|74,968|1,456,388|122|3|74,139|627
佐賀|5,914|122,965|24|0|5,894|30
長崎|6,159|206,513|37|0|6,050|73
熊本|14,426|125,009|13|0|14,277|136
大分|8,199|311,437|12|0|8,103|84
宮崎|6,163|73,177|10|0|6,096|41
鹿児島|9,213|177,955|32|0|9,054|66
沖縄|52,724|447,584|2,252|18|50,079|398
その他（その他）|149|0|0|0|149|0
合計|1,737,289|28,282,172|10,020|91|1,708,602|18,390
