都道府県名|陽性者数 検査人数※3||％
北海道|4,820|101,035|4.8%
青森 ※3|275|6,100|4.5%
※3※4※5 岩手|51|5,988|0.9%
宮城 ※3※5|943|15,890|5.9%
秋田|70|2,695|2.6%
山形|94|6,981|1.3%
福島 ※3|428|34,760|1.2%
茨城|906|14,703|6.2%
栃木 ※3※5|509|47,905|1.1%
群馬 ※3※5|951|32,726|2.9%
埼玉 ※4|6,637|206,246|3.2%
千葉|5,633|142,152|4.0%
東京 ※1|34,144|659,488|5.2%
神奈川|9,895|220,848|4.5%
新潟 ※3※5|224|19,367|1.2%
富山 ※3※5|425|15,642|2.7%
石川 ※3|827|19,519|4.2%
福井 ※3|271|12,106|2.2%
山梨 ※3|275|12,472|2.2%
長野 ※3※5|429|25,663|1.7%
岐阜 ※5|796|29,011|2.7%
静岡 ※3※4|822|48,055|1.7%
※3※4※5 愛知|7,299|113,195|6.4%
三重 ※3|610|17,127|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5※6|646|14,966|4.3%
京都|2,222|55,975|4.0%
大阪 ※3※5|14,870|266,357|5.6%
※3※4※5 兵庫|3,747|75,625|5.0%
奈良 ※5|812|27,245|3.0%
和歌山|308|10,987|2.8%
鳥取 ※3|52|6,090|0.9%
島根 ※5|141|6,354|2.2%
岡山 ※4|367|14,762|2.5%
広島 ※3|684|29,759|2.3%
山口 ※4|248|12,510|2.0%
徳島 ※3|170|7,642|2.2%
香川 ※5|113|14,848|0.8%
愛媛|123|4,529|2.7%
高知|144|3,686|3.9%
※3※4※5 福岡|5,360|178,418|3.0%
佐賀 ※3|276|8,003|3.4%
長崎|249|24,364|1.0%
熊本|887|21,374|4.1%
大分|163|22,882|0.7%
宮崎|373|8,829|4.2%
鹿児島|542|24,653|2.2%
沖縄 ※3|3,669|64,314|5.7%
長崎船 ※2 その他|149|0|-
合計|113,649|2,713,846|4.2%
