都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|259,509|1,964,534|21,299|6|236,289|1,965
青森|43,171|209,960|4,741|0|38,337|93
岩手|23,648|235,186|3,512|1|20,054|82
宮城|67,629|492,050|6,128|6|60,906|180
秋田|21,429|54,119|2,909|3|18,468|52
山形|20,770|179,014|2,078|1|18,608|84
福島|45,455|717,303|5,444|0|39,810|201
茨城|134,092|44,951|7,057|3|126,628|407
栃木|73,066|697,067|6,426|1|66,381|259
群馬|78,563|571,643|4,436|1|73,823|304
埼玉|484,206|2,574,689|23,384|13|459,402|1,420
千葉|400,580|1,882,057|21,124|8|365,830|1,711
東京|1,373,986|6,256,562|96,162|17|1,273,552|4,272
神奈川|667,231|2,180,686|27,487|21|637,639|2,105
新潟|54,531|559,205|5,483|0|48,957|91
富山|30,568|220,126|2,080|0|28,398|90
石川|39,516|372,754|3,374|5|35,933|186
福井|24,652|279,486|1,243|1|23,364|45
山梨|26,520|262,958|1,763|0|24,705|64
長野|55,466|618,110|5,950|0|47,443|169
岐阜|78,616|771,318|5,280|1|72,653|320
静岡|137,278|1,066,008|7,771|0|126,870|389
愛知|454,506|2,417,403|25,732|14|426,777|1,997
三重|65,647|451,498|5,208|1|61,801|280
滋賀|76,581|549,645|4,752|0|71,625|204
京都|170,745|752,869|8,806|9|160,397|688
大阪|858,794|6,468,202|41,162|38|812,750|4,868
兵庫|364,793|1,419,441|15,861|16|346,773|2,160
奈良|81,429|466,067|10,181|4|70,891|357
和歌山|32,986|148,230|1,700|2|30,993|111
鳥取|10,770|326,427|881|0|9,741|14
島根|11,681|156,561|1,342|1|10,328|11
岡山|72,934|509,607|4,493|5|64,966|230
広島|113,890|1,618,942|13,385|7|100,048|457
山口|34,057|507,518|2,376|1|31,511|170
徳島|17,822|187,933|880|1|16,871|79
香川|35,216|240,751|3,057|0|32,043|116
愛媛|29,851|312,829|2,635|4|27,082|134
高知|19,517|231,379|1,476|1|17,939|102
福岡|342,504|2,363,971|38,539|12|296,110|1,176
佐賀|38,990|234,626|3,910|0|32,430|95
長崎|38,802|324,814|4,163|0|36,316|118
熊本|73,853|245,975|5,645|4|67,932|276
大分|39,092|511,673|3,150|0|35,795|147
宮崎|34,689|167,534|5,179|1|29,464|122
鹿児島|55,202|336,381|5,918|2|48,450|172
沖縄|143,645|706,596|11,353|11|131,853|442
その他（その他）|149|0|0|0|149|0
合計|7,358,627|43,866,658|486,915|222|6,815,085|29,015
