都道府県名|陽性者数 検査人数||％
北海道|18,814|368,319|5.1%
青森|812|17,021|4.8%
岩手|553|23,832|2.3%
宮城|3,561|65,804|5.4%
秋田|269|6,949|3.9%
山形|537|17,066|3.1%
福島|1,872|105,311|1.8%
茨城|5,582|24,712|22.6%
栃木|4,037|121,978|3.3%
群馬|4,375|88,125|5.0%
埼玉|28,655|529,187|5.4%
千葉|25,577|385,826|6.6%
東京|109,734|1,479,717|7.4%
神奈川|44,085|565,643|7.8%
新潟|1,032|42,311|2.4%
富山|898|34,876|2.6%
石川|1,791|48,335|3.7%
福井|542|30,824|1.8%
山梨|934|24,827|3.8%
長野|2,358|94,428|2.5%
岐阜|4,666|127,824|3.7%
静岡|5,003|176,824|2.8%
愛知|25,537|371,954|6.9%
三重|2,476|60,178|4.1%
都道府県名|陽性者数 検査人数||％
滋賀|2,384|67,496|3.5%
京都|8,975|149,842|6.0%
大阪|46,581|756,909|6.2%
兵庫|17,779|238,458|7.5%
奈良|3,335|78,866|4.2%
和歌山|1,159|24,211|4.8%
鳥取|208|38,963|0.5%
島根|281|14,340|2.0%
岡山|2,466|63,400|3.9%
広島|4,996|149,875|3.3%
山口|1,369|55,951|2.4%
徳島|447|25,402|1.8%
香川|742|43,531|1.7%
愛媛|1,050|31,206|3.4%
高知|884|7,091|12.5%
福岡|17,787|427,846|4.2%
佐賀|1,012|26,704|3.8%
長崎|1,590|65,467|2.4%
熊本|3,432|56,482|6.1%
大分|1,285|76,372|1.7%
宮崎|1,943|24,614|7.9%
鹿児島|1,745|65,178|2.7%
沖縄|8,083|141,275|5.7%
長崎船 その他|149|0|-
合計|423,382|7,441,350|5.7%
