都道府県名|陽性者数 検査人数||％
北海道|18,674|361,220|5.2%
青森|812|16,995|4.8%
岩手|543|23,307|2.3%
宮城|3,523|49,814|7.1%
秋田|269|6,949|3.9%
山形|535|16,960|3.2%
福島|1,861|102,532|1.8%
茨城|5,476|24,664|22.2%
栃木|4,005|119,101|3.4%
群馬|4,338|87,343|5.0%
埼玉|28,309|521,097|5.4%
千葉|25,144|379,314|6.6%
東京|108,782|1,464,411|7.4%
神奈川|43,725|561,659|7.8%
新潟|1,024|41,328|2.5%
富山|895|34,715|2.6%
石川|1,743|47,365|3.7%
福井|537|30,156|1.8%
山梨|933|23,510|4.0%
長野|2,352|93,982|2.5%
岐阜|4,641|125,346|3.7%
静岡|4,927|175,279|2.8%
愛知|25,391|370,373|6.9%
三重|2,440|56,417|4.3%
都道府県名|陽性者数 検査人数||％
滋賀|2,353|66,308|3.5%
京都|8,957|148,791|6.0%
大阪|46,336|741,448|6.2%
兵庫|17,660|233,267|7.6%
奈良|3,313|78,089|4.2%
和歌山|1,156|24,080|4.8%
鳥取|207|38,653|0.5%
島根|280|14,340|2.0%
岡山|2,460|60,138|4.1%
広島|4,985|147,177|3.4%
山口|1,366|55,951|2.4%
徳島|444|24,873|1.8%
香川|729|42,636|1.7%
愛媛|1,032|29,710|3.5%
高知|884|7,088|12.5%
福岡|17,555|421,872|4.2%
佐賀|995|26,455|3.8%
長崎|1,588|64,616|2.5%
熊本|3,429|56,129|6.1%
大分|1,276|75,217|1.7%
宮崎|1,940|24,604|7.9%
鹿児島|1,742|64,545|2.7%
沖縄|8,047|140,309|5.7%
長崎船 その他|149|0|-
合計|419,762|7,320,133|5.7%
