都道府県名|陽性者数 検査人数※3||％
北海道|2,804|76,018|3.7%
青森 ※3|187|4,211|4.4%
※3※4※5 岩手|27|5,189|0.5%
宮城 ※3※5|602|13,266|4.5%
秋田|61|2,455|2.5%
山形|84|5,869|1.4%
福島 ※3|386|27,702|1.4%
茨城|743|13,569|5.5%
栃木 ※3※5|477|35,163|1.4%
群馬 ※3※5|870|27,925|3.1%
埼玉 ※4|5,653|176,782|3.2%
千葉|4,836|121,264|4.0%
東京 ※1|30,127|575,136|5.2%
神奈川|8,389|191,586|4.4%
新潟 ※3※5|182|17,373|1.0%
富山 ※3※5|422|14,298|3.0%
石川 ※3|799|16,239|4.9%
福井 ※3|256|10,912|2.3%
山梨 ※3|203|11,459|1.8%
長野 ※3※5|334|22,342|1.5%
岐阜 ※5|672|26,149|2.6%
静岡 ※3※4|596|41,298|1.4%
※3※4※5 愛知|5,869|93,722|6.3%
三重 ※3|555|15,441|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|539|13,774|3.9%
京都|1,974|51,461|3.8%
大阪 ※3※5|12,089|225,514|5.4%
※3※4※5 兵庫|3,142|66,553|4.7%
奈良 ※5|626|24,077|2.6%
和歌山|272|10,282|2.6%
鳥取 ※3|37|5,679|0.7%
島根 ※5|141|6,127|2.3%
岡山 ※4|206|10,217|2.0%
広島 ※3|656|26,970|2.4%
山口 ※4|213|11,623|1.8%
徳島 ※3|164|7,416|2.2%
香川 ※5|101|13,053|0.8%
愛媛|116|4,305|2.7%
高知|142|3,614|3.9%
※3※4※5 福岡|5,189|158,630|3.3%
佐賀 ※3|254|6,936|3.7%
長崎|244|21,684|1.1%
熊本|769|19,076|4.0%
大分|159|20,118|0.8%
宮崎|367|8,758|4.2%
鹿児島|463|21,808|2.1%
沖縄 ※3|3,194|53,755|5.9%
長崎船 ※2 その他|149|0|-
合計|96,340|2,336,798|4.1%
