都道府県名|陽性者数 検査人数※3||％
北海道|7,585|133,167|5.7%
青森 ※3|282|6,445|4.4%
※3※4※5 岩手|162|8,426|1.9%
宮城 ※3※5|1,128|18,212|6.2%
秋田|83|3,451|2.4%
山形|110|7,344|1.5%
福島 ※3|480|38,310|1.3%
茨城|1,347|16,138|8.3%
栃木 ※3※5|595|52,696|1.1%
群馬 ※3※5|1,087|34,753|3.1%
埼玉 ※4|7,842|225,315|3.5%
千葉|6,562|158,518|4.1%
東京 ※1|38,598|728,630|5.3%
神奈川|11,640|241,723|4.8%
新潟 ※3※5|324|21,588|1.5%
富山 ※3※5|447|16,529|2.7%
石川 ※3|838|20,975|4.0%
福井 ※3|305|14,164|2.2%
山梨 ※3|332|13,263|2.5%
長野 ※3※5|638|29,443|2.2%
岐阜 ※5|969|32,174|3.0%
静岡 ※3※4|1,334|53,923|2.5%
※3※4※5 愛知|9,023|127,454|7.1%
三重 ※3|755|18,271|4.1%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|756|26,058|2.9%
京都|2,521|62,771|4.0%
大阪 ※3※5|18,458|304,268|6.1%
※3※4※5 兵庫|4,928|88,077|5.6%
奈良 ※5|1,038|31,252|3.3%
和歌山|408|12,760|3.2%
鳥取 ※3※4|56|15,952|0.4%
島根 ※5|143|6,498|2.2%
岡山 ※4|530|17,220|3.1%
広島 ※3|770|33,227|2.3%
山口 ※4|363|17,013|2.1%
徳島 ※3|179|7,755|2.3%
香川 ※5|132|16,227|0.8%
愛媛|265|5,827|4.5%
高知|149|3,739|4.0%
※3※4※5 福岡|5,591|192,668|2.9%
佐賀 ※3|299|9,220|3.2%
長崎|263|26,087|1.0%
熊本|977|23,156|4.2%
大分|238|25,794|0.9%
宮崎|449|9,246|4.9%
鹿児島|602|26,737|2.3%
沖縄 ※3|4,057|68,811|5.9%
長崎船 ※2 その他|149|0|-
合計|135,787|3,051,275|4.5%
