都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|22,076|482,910|845|22|20,409|790
青森|1,260|28,908|164|0|1,076|20
岩手|771|51,363|66|0|674|31
宮城|7,419|108,044|1,037|19|6,314|44
秋田|349|8,791|46|0|294|9
山形|1,288|41,178|252|3|1,014|22
福島|2,880|167,430|285|12|2,477|118
茨城|7,270|28,232|361|8|6,780|129
栃木|5,007|187,259|213|3|4,724|70
群馬|5,396|125,607|276|6|5,018|102
埼玉|34,916|697,963|1,586|32|32,609|721
千葉|31,152|511,900|948|15|29,606|598
東京|128,114|1,881,027|4,410|37|121,876|1,828
神奈川|50,203|747,430|1,289|26|48,114|800
新潟|1,842|93,873|283|1|1,541|18
富山|1,080|45,610|113|3|938|29
石川|2,113|65,020|156|9|1,889|66
福井|684|40,715|72|2|583|29
山梨|1,050|33,554|55|1|976|19
長野|3,351|131,957|349|1|2,970|49
岐阜|5,239|171,949|197|3|4,913|129
静岡|6,027|268,724|234|4|5,672|121
愛知|29,316|504,532|1,676|7|27,034|606
三重|3,089|82,920|263|7|2,842|74
滋賀|3,096|95,183|260|4|2,777|59
京都|10,509|191,174|721|11|9,638|176
大阪|64,382|1,199,005|10,940|261|51,638|1,238
兵庫|23,793|331,053|3,127|80|20,049|617
奈良|4,815|109,050|755|10|4,000|60
和歌山|1,666|29,514|267|39|1,354|19
鳥取|320|54,749|80|0|226|2
島根|295|18,895|7|0|288|0
岡山|3,069|84,188|166|3|2,603|35
広島|5,330|195,831|104|0|5,110|107
山口|1,485|74,020|54|0|1,388|43
徳島|791|36,251|211|4|555|25
香川|1,028|56,401|126|2|886|19
愛媛|1,819|46,605|310|9|1,484|25
高知|951|7,552|15|1|917|19
福岡|19,748|543,312|648|10|18,759|341
佐賀|1,302|34,288|68|0|1,239|13
長崎|1,702|83,675|64|0|1,599|39
熊本|3,579|59,003|52|3|3,453|74
大分|1,361|99,742|38|1|1,301|22
宮崎|2,025|27,215|62|0|1,938|22
鹿児島|1,943|77,280|65|0|1,865|28
沖縄|11,137|176,389|1,227|11|9,786|130
（その他）|149|-|0|-|149|-
合計|518,187|10,137,271|34,543|670|473,345|9,535
