都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|326,952|2,145,177|25,373|6|298,732|2,020
青森|52,075|233,812|2,869|0|49,106|100
岩手|31,076|264,329|2,821|0|28,169|86
宮城|79,963|547,851|3,688|2|75,570|193
秋田|28,133|59,875|2,531|0|25,538|64
山形|25,718|188,466|2,142|1|23,486|90
福島|57,985|784,605|5,030|1|52,739|216
茨城|151,309|1,240,444|3,634|2|147,244|431
栃木|86,227|730,178|4,412|1|81,547|268
群馬|89,060|617,487|3,420|0|85,722|313
埼玉|531,446|2,737,264|12,391|5|517,536|1,519
千葉|435,372|2,013,565|8,748|6|420,103|1,764
東京|1,488,435|6,644,779|51,145|4|1,432,897|4,393
神奈川|726,530|2,180,686|15,013|17|709,355|2,162
新潟|66,154|617,634|3,948|0|62,115|91
富山|34,366|236,369|1,998|1|32,276|92
石川|48,916|415,097|4,249|4|44,451|193
福井|30,780|308,613|1,706|0|29,029|45
山梨|30,266|307,635|1,007|0|29,195|68
長野|67,323|686,297|3,162|0|63,781|186
岐阜|92,373|841,811|4,546|1|86,959|324
静岡|156,837|1,186,602|8,125|0|147,622|404
愛知|506,976|2,596,316|18,471|5|486,470|2,035
三重|76,303|495,104|3,463|0|74,386|287
滋賀|85,316|599,320|3,056|0|82,043|217
京都|191,273|798,938|8,112|14|181,571|706
大阪|932,750|6,839,525|29,847|20|897,915|4,988
兵庫|401,814|1,506,174|11,627|9|387,973|2,215
奈良|88,477|495,106|4,078|1|84,017|382
和歌山|39,035|164,808|1,799|1|36,913|117
鳥取|13,462|371,394|958|0|12,306|16
島根|15,477|193,988|1,251|0|14,211|15
岡山|88,920|552,358|4,676|1|81,134|243
広島|139,605|1,777,041|11,082|2|128,047|476
山口|39,949|543,637|2,492|1|37,282|175
徳島|20,176|202,812|1,063|0|19,044|80
香川|43,568|261,359|3,050|0|40,395|123
愛媛|36,263|343,734|2,003|3|34,123|137
高知|24,353|256,889|2,107|0|22,138|108
福岡|397,218|2,563,626|16,498|6|372,213|1,237
佐賀|48,875|261,826|2,802|0|43,566|105
長崎|49,870|353,474|4,207|0|48,216|124
熊本|88,745|268,500|4,450|8|84,009|286
大分|48,696|557,891|3,001|1|45,538|157
宮崎|46,163|184,015|4,315|3|41,785|138
鹿児島|73,384|387,417|5,273|1|67,284|187
沖縄|186,458|786,148|17,086|12|168,923|455
その他（その他）|149|0|0|0|149|0
合計|8,320,571|48,349,976|338,725|139|7,934,823|30,031
