都道府県名|陽性者数 検査人数※3||％
北海道|11,650|200,304|5.8%
青森 ※3|383|8,413|4.6%
※3※4※5 岩手|318|12,356|2.6%
宮城 ※3※5|1,596|22,399|7.1%
秋田|94|3,873|2.4%
山形|290|9,361|3.1%
福島 ※3|658|46,923|1.4%
茨城|2,053|18,048|11.4%
栃木 ※3※5|938|63,079|1.5%
群馬 ※3※5|1,771|45,427|3.9%
埼玉 ※4|10,894|272,701|4.0%
千葉|8,511|193,565|4.4%
東京 ※1|48,668|876,634|5.6%
神奈川|15,684|293,582|5.3%
新潟 ※3※5|418|25,175|1.7%
富山 ※3※5|477|19,490|2.4%
石川 ※3|930|25,853|3.6%
福井 ※3|337|17,138|2.0%
山梨 ※3|459|14,215|3.2%
長野 ※3※5|1,006|39,493|2.5%
岐阜 ※5|1,585|53,111|3.0%
静岡 ※3※4|2,253|71,412|3.2%
※3※4※5 愛知|13,035|165,720|7.9%
三重 ※3|1,103|24,205|4.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|886|32,086|2.8%
京都|3,378|77,767|4.3%
大阪 ※3※5|25,816|395,030|6.5%
※3※4※5 兵庫|7,547|116,713|6.5%
奈良 ※5|1,554|40,843|3.8%
和歌山|568|15,447|3.7%
鳥取 ※3※4|68|20,641|0.3%
島根 ※5|170|7,659|2.2%
岡山 ※4|858|24,136|3.6%
広島 ※3|1,808|51,951|3.5%
山口 ※4|441|22,347|2.0%
徳島 ※3|188|14,029|1.3%
香川 ※5|205|19,968|1.0%
愛媛|370|9,820|3.8%
高知|432|5,022|8.6%
※3※4※5 福岡|6,890|231,582|3.0%
佐賀 ※3|398|12,611|3.2%
長崎|338|31,230|1.1%
熊本|1,329|28,851|4.6%
大分|543|35,449|1.5%
宮崎|622|11,400|5.5%
鹿児島|837|32,950|2.5%
沖縄 ※3|4,880|81,311|6.0%
長崎船 ※2 その他|149|0|-
合計|185,386|3,841,320|4.8%
