都道府県名|陽性者数 検査人数※3||％
北海道|16,440|294,359|5.6%
青森 ※3|668|12,370|5.4%
※3※4※5 岩手|485|18,647|2.6%
宮城 ※3※5|3,169|45,417|7.0%
秋田|235|6,089|3.9%
山形|456|12,970|3.5%
福島 ※3|1,548|76,224|2.0%
茨城|4,187|21,908|19.1%
栃木 ※3※5|3,487|96,058|3.6%
群馬 ※3※5|3,545|69,533|5.1%
埼玉 ※4|22,735|413,312|5.5%
千葉|19,507|299,683|6.5%
東京 ※1|91,834|1,232,076|7.5%
神奈川|36,953|455,639|8.1%
新潟 ※3※5|831|34,519|2.4%
富山 ※3※5|832|28,649|2.9%
石川 ※3|1,403|37,980|3.7%
福井 ※3|471|24,855|1.9%
山梨 ※3|874|14,741|5.9%
長野 ※3※5|2,129|69,826|3.0%
岐阜 ※5|3,863|94,663|4.1%
静岡 ※3※4|4,146|128,855|3.2%
※3※4※5 愛知|22,181|281,822|7.9%
三重 ※3|1,936|42,391|4.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,906|50,438|3.8%
京都|7,393|118,410|6.2%
大阪 ※3※5|40,508|596,455|6.8%
※3※4※5 兵庫|14,703|182,530|8.1%
奈良 ※5|2,797|63,299|4.4%
和歌山|965|20,003|4.8%
鳥取 ※3※4|186|31,666|0.6%
島根 ※5|242|11,764|2.1%
岡山 ※4|2,203|47,392|4.6%
広島 ※3|4,533|107,047|4.2%
山口 ※4|1,026|40,022|2.6%
徳島 ※3|350|19,453|1.8%
香川 ※5|580|34,210|1.7%
愛媛|909|22,287|4.1%
高知|815|6,666|12.2%
※3※4※5 福岡|14,385|338,817|4.2%
佐賀 ※3|876|21,260|4.1%
長崎|1,359|52,286|2.6%
熊本|3,076|48,014|6.4%
大分|1,014|57,712|1.8%
宮崎|1,696|20,872|8.1%
鹿児島|1,497|51,830|2.9%
沖縄 ※3|6,862|115,456|5.9%
長崎船 ※2 その他|149|0|-
合計|353,945|5,870,475|6.0%
