都道府県名|陽性者数 検査人数※3||％
北海道|2,107|57,520|3.7%
青森 ※3|36|2,449|1.5%
※3※4※5 岩手|23|4,265|0.5%
宮城 ※3※5|406|10,404|3.9%
秋田|53|2,144|2.5%
山形|78|5,169|1.5%
福島 ※3|253|20,459|1.2%
茨城|659|12,578|5.2%
栃木 ※3|432|30,456|1.4%
群馬 ※3※5|706|22,543|3.1%
埼玉 ※4|4,685|144,451|3.2%
千葉|3,934|89,202|4.4%
東京 ※１|25,973|460,907|5.6%
神奈川|6,975|155,100|4.5%
新潟 ※3※5|170|15,512|1.1%
富山 ※3※5|419|12,282|3.4%
石川 ※3|777|13,092|5.9%
福井 ※3|244|9,809|2.5%
山梨 ※3|190|10,704|1.8%
長野 ※3※5|310|19,045|1.6%
岐阜 ※5|627|22,940|2.7%
静岡 ※3※4|548|34,596|1.6%
※3※4※5 愛知|5,363|77,400|6.9%
三重 ※3|509|12,619|4.0%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|503|11,937|4.2%
京都|1,762|42,808|4.1%
大阪 ※3※5|10,669|186,464|5.7%
※3※4※5 兵庫|2,717|56,736|4.8%
奈良 ※5|574|20,737|2.8%
和歌山|242|9,310|2.6%
鳥取 ※3|36|5,481|0.7%
島根 ※5|140|5,792|2.4%
岡山 ※4|157|8,110|1.9%
広島 ※3|577|20,946|2.8%
山口 ※4|201|9,864|2.0%
徳島 ※3|148|6,921|2.1%
香川 ※5|93|10,787|0.9%
愛媛|114|4,087|2.8%
高知|138|3,486|4.0%
福岡 ※4※5|5,040|132,965|3.8%
佐賀 ※3|245|6,075|4.0%
長崎|236|18,531|1.3%
熊本|578|16,494|3.5%
大分|158|17,019|0.9%
宮崎|344|8,593|4.0%
鹿児島|422|19,127|2.2%
沖縄 ※3|2,516|39,290|6.4%
長崎船 ※2 その他|149|0|-
合計|83,236|1,907,206|4.4%
