都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|383,027|2,391,199|5,265|2|375,708|2,096
青森|62,946|266,719|1,742|0|61,090|114
岩手|38,207|301,894|638|0|37,472|97
宮城|94,410|629,155|1,566|3|92,400|200
秋田|32,141|63,869|337|0|31,732|72
山形|30,722|201,752|742|0|29,883|97
福島|66,860|877,175|729|0|65,904|227
茨城|165,591|1,380,150|1,369|0|163,776|446
栃木|94,280|778,623|871|2|93,132|277
群馬|98,382|680,978|947|0|97,286|322
埼玉|572,031|2,975,357|7,632|3|562,734|1,665
千葉|466,332|2,212,869|3,912|1|456,924|1,795
東京|1,605,993|7,249,976|27,561|5|1,573,854|4,578
神奈川|783,657|3,152,340|10,145|7|771,277|2,235
新潟|75,987|691,739|898|0|74,998|91
富山|40,324|263,417|1,196|0|39,032|96
石川|60,408|517,354|1,008|1|59,179|198
福井|39,242|343,856|817|0|38,380|45
山梨|34,529|367,347|425|0|34,039|68
長野|77,950|774,247|801|0|76,918|205
岐阜|109,566|948,316|1,912|0|107,029|347
静岡|180,152|1,324,735|2,803|0|176,287|421
愛知|570,492|2,918,468|9,351|1|559,043|2,098
三重|87,861|565,118|1,822|1|87,789|310
滋賀|95,853|682,109|1,474|0|94,158|221
京都|213,321|874,202|3,135|17|208,994|748
大阪|1,018,857|7,500,093|17,360|3|996,286|5,211
兵庫|445,302|1,647,664|6,277|2|436,774|2,251
奈良|96,544|543,631|1,305|1|94,847|392
和歌山|45,044|181,205|1,022|0|43,693|118
鳥取|16,646|428,513|672|0|15,749|20
島根|20,378|234,585|2,398|0|17,964|16
岡山|104,933|624,097|1,210|1|102,840|252
広島|169,466|1,991,329|3,422|1|165,549|495
山口|49,616|611,547|1,458|0|47,977|181
徳島|24,660|230,123|570|0|24,005|85
香川|51,093|293,258|736|0|50,229|128
愛媛|45,294|392,193|2,136|0|43,015|143
高知|30,905|317,030|1,140|1|29,650|115
福岡|451,477|2,842,528|7,719|0|435,658|1,274
佐賀|57,888|297,665|2,083|0|52,967|110
長崎|66,318|439,291|2,591|0|63,896|126
熊本|112,022|303,684|4,630|0|107,087|305
大分|58,678|628,857|1,476|0|57,037|165
宮崎|59,267|195,344|2,065|0|56,971|147
鹿児島|94,505|445,845|2,771|1|91,027|210
沖縄|256,797|932,801|12,406|8|243,848|487
その他（その他）|149|0|0|0|149|0
合計|9,356,103|54,514,247|164,545|61|9,146,236|31,300
