都道府県名|陽性者数 検査人数※3||％
北海道|13,540|240,878|5.6%
青森 ※3|492|9,936|5.0%
※3※4※5 岩手|389|14,448|2.7%
宮城 ※3※5|2,198|24,825|8.9%
秋田|143|4,565|3.1%
山形|390|10,179|3.8%
福島 ※3|956|58,133|1.6%
茨城|2,488|18,572|13.4%
栃木 ※3※5|1,534|72,782|2.1%
群馬 ※3※5|2,339|52,671|4.4%
埼玉 ※4|14,519|320,485|4.5%
千葉|11,222|226,083|5.0%
東京 ※1|60,960|996,675|6.1%
神奈川|21,733|342,311|6.3%
新潟 ※3※5|545|28,181|1.9%
富山 ※3※5|560|21,742|2.6%
石川 ※3|1,084|29,937|3.6%
福井 ※3|355|19,409|1.8%
山梨 ※3|568|14,525|3.9%
長野 ※3※5|1,206|48,235|2.5%
岐阜 ※5|2,348|65,635|3.6%
静岡 ※3※4|2,713|88,334|3.1%
※3※4※5 愛知|16,554|199,918|8.3%
三重 ※3|1,297|30,675|4.2%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,199|37,603|3.2%
京都|4,803|95,241|5.0%
大阪 ※3※5|30,261|469,277|6.4%
※3※4※5 兵庫|10,004|140,507|7.1%
奈良 ※5|2,041|47,698|4.3%
和歌山|629|16,542|3.8%
鳥取 ※3※4|119|24,185|0.5%
島根 ※5|209|9,344|2.2%
岡山 ※4|1,390|31,723|4.4%
広島 ※3|3,318|75,233|4.4%
山口 ※4|589|26,760|2.2%
徳島 ※3|199|15,356|1.3%
香川 ※5|306|24,380|1.3%
愛媛|471|13,700|3.4%
高知|669|5,968|11.2%
※3※4※5 福岡|8,774|263,231|3.3%
佐賀 ※3|469|15,020|3.1%
長崎|611|39,538|1.5%
熊本|1,873|36,058|5.2%
大分|700|43,195|1.6%
宮崎|759|12,454|6.1%
鹿児島|1,016|39,647|2.6%
沖縄 ※3|5,413|90,097|6.0%
長崎船 ※2 その他|149|0|-
合計|236,104|4,511,891|5.2%
