都道府県名|陽性者数 検査人数※3||％
北海道|16,863|303,756|5.6%
青森 ※3|691|12,667|5.5%
※3※4※5 岩手|489|19,219|2.5%
宮城 ※3※5|3,287|46,972|7.0%
秋田|251|6,341|4.0%
山形|463|13,473|3.4%
福島 ※3|1,653|79,159|2.1%
茨城|4,459|22,596|19.7%
栃木 ※3※5|3,615|99,964|3.6%
群馬 ※3※5|3,649|71,645|5.1%
埼玉 ※4|23,848|430,071|5.5%
千葉|20,877|309,004|6.8%
東京 ※1|95,534|1,266,477|7.5%
神奈川|38,773|472,946|8.2%
新潟 ※3※5|856|35,649|2.4%
富山 ※3※5|848|29,288|2.9%
石川 ※3|1,437|38,966|3.7%
福井 ※3|496|25,653|1.9%
山梨 ※3|887|14,741|6.0%
長野 ※3※5|2,216|77,561|2.9%
岐阜 ※5|4,038|98,687|4.1%
静岡 ※3※4|4,338|135,440|3.2%
※3※4※5 愛知|22,926|293,384|7.8%
三重 ※3|2,057|42,391|4.9%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|2,026|53,211|3.8%
京都|7,759|120,598|6.4%
大阪 ※3※5|42,070|617,604|6.8%
※3※4※5 兵庫|15,467|191,134|8.1%
奈良 ※5|2,906|65,814|4.4%
和歌山|1,011|20,636|4.9%
鳥取 ※3※4|197|32,694|0.6%
島根 ※5|245|11,764|2.1%
岡山 ※4|2,267|47,392|4.8%
広島 ※3|4,647|107,047|4.3%
山口 ※4|1,151|40,022|2.9%
徳島 ※3|371|20,493|1.8%
香川 ※5|599|35,647|1.7%
愛媛|954|22,965|4.2%
高知|828|6,800|12.2%
※3※4※5 福岡|15,213|352,510|4.3%
佐賀 ※3|924|22,704|4.1%
長崎|1,419|53,978|2.6%
熊本|3,262|51,045|6.4%
大分|1,079|59,703|1.8%
宮崎|1,760|21,639|8.1%
鹿児島|1,543|53,383|2.9%
沖縄 ※3|7,139|119,818|6.0%
長崎船 ※2 その他|149|0|-
合計|369,537|6,074,651|6.1%
