都道府県名|陽性者数 検査人数※3||％
北海道|12,307|213,422|5.8%
青森 ※3|391|8,675|4.5%
※3※4※5 岩手|336|12,981|2.6%
宮城 ※3※5|1,776|23,979|7.4%
秋田|95|3,951|2.4%
山形|324|9,645|3.4%
福島 ※3|754|50,452|1.5%
茨城|2,149|18,301|11.7%
栃木 ※3※5|1,039|66,532|1.6%
群馬 ※3※5|1,950|47,293|4.1%
埼玉 ※4|11,789|287,305|4.1%
千葉|9,172|206,425|4.4%
東京 ※1|51,838|913,711|5.7%
神奈川|17,039|318,768|5.3%
新潟 ※3※5|443|25,787|1.7%
富山 ※3※5|494|20,063|2.5%
石川 ※3|967|26,934|3.6%
福井 ※3|337|17,495|1.9%
山梨 ※3|488|14,339|3.4%
⾧野 ※3※5|1,050|41,682|2.5%
岐阜 ※5|1,748|56,624|3.1%
静岡 ※3※4|2,383|78,035|3.1%
※3※4※5 愛知|14,127|171,494|8.2%
三重 ※3|1,151|26,913|4.3%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|944|33,729|2.8%
京都|3,782|82,095|4.6%
大阪 ※3※5|27,217|415,640|6.5%
※3※4※5 兵庫|8,204|123,359|6.7%
奈良 ※5|1,686|43,109|3.9%
和歌山|582|15,760|3.7%
鳥取 ※3※4|69|21,278|0.3%
島根 ※5|181|8,556|2.1%
岡山 ※4|1,111|27,231|4.1%
広島 ※3|2,298|60,968|3.8%
山口 ※4|468|24,734|1.9%
徳島 ※3|192|14,337|1.3%
香川 ※5|209|20,614|1.0%
愛媛|375|10,873|3.4%
高知|518|5,353|9.7%
※3※4※5 福岡|7,366|240,793|3.1%
佐賀 ※3|411|13,513|3.0%
⾧崎|400|34,299|1.2%
熊本|1,446|30,344|4.8%
大分|576|37,321|1.5%
宮崎|669|11,785|5.7%
鹿児島|875|34,683|2.5%
沖縄 ※3|4,989|83,981|5.9%
⾧崎船 ※2 その他|149|0|-
合計|198,864|4,055,161|4.9%
