都道府県名|陽性者数 検査人数※3||％
北海道|9,075|154,998|5.9%
青森 ※3|307|6,889|4.5%
※3※4※5 岩手|208|9,681|2.1%
宮城 ※3※5|1,221|19,125|6.4%
秋田|90|3,676|2.4%
山形|141|7,663|1.8%
福島 ※3|506|40,549|1.2%
茨城|1,655|17,086|9.7%
栃木 ※3※5|688|55,743|1.2%
群馬 ※3※5|1,283|36,339|3.5%
埼玉 ※4|8,680|240,236|3.6%
千葉|7,158|167,709|4.3%
東京 ※1|41,811|776,098|5.4%
神奈川|12,929|260,211|5.0%
新潟 ※3※5|340|22,619|1.5%
富山 ※3※5|460|17,465|2.6%
石川 ※3|861|22,622|3.8%
福井 ※3|319|15,274|2.1%
山梨 ※3|353|13,599|2.6%
⾧野 ※3※5|748|32,320|2.3%
岐阜 ※5|1,119|41,349|2.7%
静岡 ※3※4|1,722|59,560|2.9%
※3※4※5 愛知|10,309|143,080|7.2%
三重 ※3|880|19,848|4.4%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|796|28,288|2.8%
京都|2,693|67,261|4.0%
大阪 ※3※5|21,018|334,185|6.3%
※3※4※5 兵庫|5,749|98,300|5.8%
奈良 ※5|1,190|33,927|3.5%
和歌山|471|13,692|3.4%
鳥取 ※3※4|60|17,317|0.3%
島根 ※5|148|6,772|2.2%
岡山 ※4|619|19,205|3.2%
広島 ※3|872|35,884|2.4%
山口 ※4|398|19,028|2.1%
徳島 ※3|181|7,839|2.3%
香川 ※5|148|17,450|0.8%
愛媛|327|7,273|4.5%
高知|165|3,806|4.3%
※3※4※5 福岡|5,901|204,387|2.9%
佐賀 ※3|325|9,931|3.3%
⾧崎|273|27,465|1.0%
熊本|1,045|24,408|4.3%
大分|324|28,476|1.1%
宮崎|521|9,975|5.2%
鹿児島|629|27,755|2.3%
沖縄 ※3|4,398|74,039|5.9%
⾧崎船 ※2 その他|149|0|-
合計|151,263|3,300,402|4.6%
