都道府県名|陽性者数 検査人数||％
北海道|18,751|366,254|5.1%
青森|812|17,021|4.8%
岩手|553|23,832|2.3%
宮城|3,550|65,694|5.4%
秋田|269|6,949|3.9%
山形|537|17,064|3.1%
福島|1,872|104,513|1.8%
茨城|5,536|24,712|22.4%
栃木|4,028|120,419|3.3%
群馬|4,354|88,125|4.9%
埼玉|28,571|528,488|5.4%
千葉|25,414|385,446|6.6%
東京|109,462|1,479,717|7.4%
神奈川|43,985|565,643|7.8%
新潟|1,030|42,000|2.5%
富山|897|34,876|2.6%
石川|1,779|48,052|3.7%
福井|542|30,796|1.8%
山梨|934|24,827|3.8%
長野|2,358|94,428|2.5%
岐阜|4,655|127,809|3.6%
静岡|4,985|176,824|2.8%
愛知|25,491|371,954|6.9%
三重|2,465|60,178|4.1%
都道府県名|陽性者数 検査人数||％
滋賀|2,376|66,964|3.5%
京都|8,975|149,842|6.0%
大阪|46,521|753,529|6.2%
兵庫|17,737|236,742|7.5%
奈良|3,331|78,866|4.2%
和歌山|1,159|24,168|4.8%
鳥取|208|38,962|0.5%
島根|281|14,340|2.0%
岡山|2,463|63,400|3.9%
広島|4,993|149,155|3.3%
山口|1,367|55,951|2.4%
徳島|447|25,402|1.8%
香川|737|43,244|1.7%
愛媛|1,047|31,172|3.4%
高知|884|7,091|12.5%
福岡|17,716|426,801|4.2%
佐賀|1,004|26,589|3.8%
長崎|1,590|65,199|2.4%
熊本|3,432|56,413|6.1%
大分|1,283|76,333|1.7%
宮崎|1,943|24,614|7.9%
鹿児島|1,744|65,178|2.7%
沖縄|8,076|141,091|5.7%
長崎船 その他|149|0|-
合計|422,293|7,426,667|5.7%
