都道府県名|陽性者数 検査人数※3||％
北海道|2,390|65,584|3.6%
青森 ※3|39|2,619|1.5%
※3※4※5 岩手|24|4,682|0.5%
宮城 ※3※5|491|11,617|4.2%
秋田|59|2,349|2.5%
山形|81|5,298|1.5%
福島 ※3|319|23,265|1.4%
茨城|710|13,060|5.4%
栃木 ※3※5|444|33,555|1.3%
群馬 ※3※5|763|25,367|3.0%
埼玉 ※4|5,131|157,456|3.3%
千葉|4,346|106,437|4.1%
東京 ※1|27,959|515,503|5.4%
神奈川|7,591|172,457|4.4%
新潟 ※3※5|179|16,452|1.1%
富山 ※3※5|422|13,531|3.1%
石川 ※3|782|14,607|5.4%
福井 ※3|249|10,254|2.4%
山梨 ※3|197|11,057|1.8%
長野 ※3※5|320|20,367|1.6%
岐阜 ※5|636|24,420|2.6%
静岡 ※3※4|567|37,931|1.5%
※3※4※5 愛知|5,557|85,912|6.5%
三重 ※3|542|14,328|3.8%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|518|13,058|4.0%
京都|1,863|46,776|4.0%
大阪 ※3※5|11,249|204,301|5.5%
※3※4※5 兵庫|2,913|61,514|4.7%
奈良 ※5|603|22,589|2.7%
和歌山|252|9,793|2.6%
鳥取 ※3|36|5,539|0.6%
島根 ※5|140|5,943|2.4%
岡山 ※4|164|8,654|1.9%
広島 ※3|641|24,634|2.6%
山口 ※4|209|10,725|1.9%
徳島 ※3|149|7,104|2.1%
香川 ※5|96|11,827|0.8%
愛媛|115|4,192|2.7%
高知|139|3,542|3.9%
※3※4※5 福岡|5,105|145,841|3.5%
佐賀 ※3|249|6,322|3.9%
長崎|241|20,210|1.2%
熊本|714|17,813|4.0%
大分|158|18,432|0.9%
宮崎|344|8,677|4.0%
鹿児島|456|20,797|2.2%
沖縄 ※3|2,769|45,025|6.1%
長崎船 ※2 その他|149|0|-
合計|89,070|2,111,416|4.2%
