都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|180,391|1,684,595|22,979|8|156,418|1,799
青森|22,981|167,641|3,441|0|19,472|68
岩手|11,954|185,274|2,578|0|9,315|61
宮城|43,131|399,730|5,933|6|36,389|148
秋田|10,547|44,494|1,815|1|8,697|35
山形|12,432|154,693|1,886|2|10,477|69
福島|25,513|618,725|2,804|5|22,521|188
茨城|78,727|44,100|8,515|11|69,909|303
栃木|48,155|628,295|7,088|8|40,861|206
群馬|54,438|490,745|5,889|6|48,294|255
埼玉|331,613|2,231,811|32,502|54|297,898|1,213
千葉|283,513|1,649,616|28,251|21|250,221|1,392
東京|1,041,302|5,539,158|149,628|70|887,907|3,767
神奈川|477,514|2,180,686|47,217|104|428,536|1,761
新潟|30,968|471,107|3,381|1|27,514|73
富山|19,764|188,277|5,728|6|13,969|67
石川|26,537|301,161|3,962|6|22,381|172
福井|13,985|222,579|1,899|4|12,047|39
山梨|17,628|207,892|2,048|2|15,544|50
長野|32,481|515,515|3,867|3|28,293|151
岐阜|55,791|662,352|5,750|5|49,156|283
静岡|94,029|972,780|12,251|4|80,517|346
愛知|333,770|2,107,798|36,673|52|295,390|1,707
三重|43,401|381,621|4,995|8|39,377|248
滋賀|52,543|437,839|8,395|1|44,002|146
京都|130,021|664,262|14,859|84|113,345|466
大阪|679,792|5,705,340|94,422|770|581,257|4,048
兵庫|271,564|1,249,926|29,786|37|239,915|1,874
奈良|59,838|408,171|14,300|23|45,256|282
和歌山|23,562|120,853|1,372|5|21,933|104
鳥取|7,081|264,608|1,381|0|5,604|9
島根|6,788|115,413|860|0|5,920|8
岡山|51,093|437,779|4,589|11|44,862|205
広島|76,432|1,410,946|10,519|12|65,511|402
山口|22,204|407,169|2,499|2|19,569|136
徳島|12,042|160,309|2,213|4|9,763|75
香川|20,266|201,618|3,348|8|16,838|80
愛媛|18,052|262,711|2,218|2|15,716|118
高知|12,806|182,711|1,776|6|10,948|82
福岡|244,840|2,036,282|33,261|16|204,586|985
佐賀|24,614|191,857|2,840|3|18,734|65
長崎|26,503|281,914|4,019|2|23,440|108
熊本|51,176|200,714|6,605|8|44,329|242
大分|25,142|432,136|2,672|0|22,365|105
宮崎|19,547|133,919|1,952|0|17,561|96
鹿児島|32,917|270,409|3,421|2|28,889|130
沖縄|103,340|600,130|6,676|16|96,223|429
その他（その他）|149|0|0|0|149|0
合計|5,262,877|38,227,661|655,063|1,399|4,567,818|24,596
