都道府県名|陽性者数 検査人数※3||％
北海道|14,314|255,733|5.6%
青森 ※3|554|11,027|5.0%
※3※4※5 岩手|410|15,296|2.7%
宮城 ※3※5|2,456|25,820|9.5%
秋田|165|4,891|3.4%
山形|422|11,028|3.8%
福島 ※3|1,140|63,058|1.8%
茨城|2,947|19,492|15.1%
栃木 ※3※5|2,254|79,469|2.8%
群馬 ※3※5|2,735|58,301|4.7%
埼玉 ※4|16,895|349,900|4.8%
千葉|13,353|242,976|5.5%
東京 ※1|71,182|1,072,713|6.6%
神奈川|25,618|381,811|6.7%
新潟 ※3※5|627|29,546|2.1%
富山 ※3※5|656|23,807|2.8%
石川 ※3|1,193|32,334|3.7%
福井 ※3|387|20,752|1.9%
山梨 ※3|676|14,741|4.6%
長野 ※3※5|1,500|55,758|2.7%
岐阜 ※5|2,868|75,002|3.8%
静岡 ※3※4|3,094|106,902|2.9%
※3※4※5 愛知|18,310|231,862|7.9%
三重 ※3|1,471|32,398|4.5%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|1,464|41,193|3.6%
京都|5,518|101,733|5.4%
大阪 ※3※5|33,273|508,066|6.5%
※3※4※5 兵庫|11,198|153,114|7.3%
奈良 ※5|2,266|53,820|4.2%
和歌山|733|17,403|4.2%
鳥取 ※3※4|161|27,288|0.6%
島根 ※5|221|9,344|2.4%
岡山 ※4|1,695|35,839|4.7%
広島 ※3|3,740|86,026|4.3%
山口 ※4|668|32,146|2.1%
徳島 ※3|221|16,230|1.4%
香川 ※5|403|27,822|1.4%
愛媛|607|15,508|3.9%
高知|721|6,112|11.8%
※3※4※5 福岡|10,368|285,837|3.6%
佐賀 ※3|566|16,188|3.5%
長崎|855|44,000|1.9%
熊本|2,172|39,141|5.5%
大分|808|48,416|1.7%
宮崎|1,173|15,272|7.7%
鹿児島|1,189|43,160|2.8%
沖縄 ※3|5,759|94,217|6.1%
長崎船 ※2 その他|149|0|-
合計|271,155|4,932,492|5.5%
