都道府県名|陽性者数 検査人数※3||％
北海道|5,683|110,887|5.1%
青森 ※3|280|6,221|4.5%
※3※4※5 岩手|77|6,659|1.2%
宮城 ※3※5|995|16,563|6.0%
秋田|74|2,878|2.6%
山形|98|7,046|1.4%
福島 ※3|441|35,697|1.2%
茨城|1,032|15,108|6.8%
栃木 ※3※5|523|48,723|1.1%
群馬 ※3※5|964|33,217|2.9%
埼玉 ※4|6,996|209,032|3.3%
千葉|5,937|147,396|4.0%
東京 ※1|35,229|679,943|5.2%
神奈川|10,349|226,157|4.6%
新潟 ※3※5|259|20,160|1.3%
富山 ※3※5|429|15,581|2.8%
石川 ※3|830|19,897|4.2%
福井 ※3|278|12,567|2.2%
山梨 ※3|288|12,697|2.3%
⾧野 ※3※5|495|26,580|1.9%
岐阜 ※5|836|30,009|2.8%
静岡 ※3※4|909|49,650|1.8%
※3※4※5 愛知|7,764|118,189|6.6%
三重 ※3|628|17,127|3.7%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5※6|683|14,966|4.6%
京都|2,307|57,951|4.0%
大阪 ※3※5|15,763|276,172|5.7%
※3※4※5 兵庫|4,014|78,781|5.1%
奈良 ※5|868|28,401|3.1%
和歌山|338|11,510|2.9%
鳥取 ※3|52|6,151|0.8%
島根 ※5|142|6,354|2.2%
岡山 ※4|406|14,762|2.8%
広島 ※3|707|30,626|2.3%
山口 ※4|279|12,510|2.2%
徳島 ※3|173|7,669|2.3%
香川 ※5|121|15,287|0.8%
愛媛|138|4,759|2.9%
高知|144|3,690|3.9%
※3※4※5 福岡|5,398|182,317|3.0%
佐賀 ※3|280|8,235|3.4%
⾧崎|251|24,833|1.0%
熊本|930|22,303|4.2%
大分|179|23,484|0.8%
宮崎|375|8,836|4.2%
鹿児島|558|25,010|2.2%
沖縄 ※3|3,792|64,776|5.9%
⾧崎船 ※2 その他|149|0|-
合計|119,441|2,797,367|4.3%
