都道府県名|陽性者数|PCR検査実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|37,680|677,855|8,016|54|28,596|1,093
青森|2,341|43,850|282|1|2,029|30
岩手|1,436|73,216|143|2|1,249|44
宮城|8,850|143,741|229|7|8,530|83
秋田|755|13,668|58|1|685|12
山形|1,956|58,114|182|5|1,733|41
福島|4,570|239,340|259|15|4,168|143
茨城|9,718|32,520|490|8|9,081|147
栃木|6,329|262,305|341|11|5,910|78
群馬|7,813|165,713|402|18|7,273|138
埼玉|43,710|874,777|1,679|45|41,247|784
千葉|37,057|608,636|1,034|19|35,346|677
東京|160,695|2,271,694|5,211|77|153,430|2,054
神奈川|61,377|918,476|2,104|72|58,391|882
新潟|3,198|142,413|343|7|2,819|36
富山|1,863|62,962|278|9|1,550|35
石川|3,727|92,351|460|12|3,162|104
福井|1,037|58,838|36|0|967|34
山梨|1,522|41,166|114|1|1,390|19
長野|4,778|176,258|301|9|4,462|83
岐阜|8,745|236,914|740|20|7,842|163
静岡|8,345|348,307|746|6|7,463|136
愛知|46,786|692,293|5,369|103|40,640|777
三重|4,892|123,611|362|11|4,551|105
滋賀|5,076|128,358|456|13|4,541|79
京都|15,731|254,273|964|35|14,636|210
大阪|99,621|1,820,843|8,912|370|87,478|2,299
兵庫|39,577|456,312|2,025|95|36,385|1,171
奈良|7,876|150,366|329|16|7,432|115
和歌山|2,617|40,172|95|24|2,423|44
鳥取|463|72,783|33|0|421|2
島根|540|26,359|83|4|457|0
岡山|7,319|133,532|992|31|6,022|103
広島|10,445|400,161|1,200|30|8,244|126
山口|2,910|103,923|433|6|2,417|60
徳島|1,631|58,231|59|3|1,511|61
香川|1,997|77,168|174|4|1,844|24
愛媛|2,712|87,274|85|4|2,555|72
高知|1,448|9,618|218|5|1,210|20
福岡|34,038|745,229|4,081|72|29,357|449
佐賀|2,500|49,731|159|5|2,342|19
長崎|2,889|111,440|152|4|2,673|64
熊本|6,212|78,168|628|23|5,487|97
大分|3,356|145,113|350|5|2,959|47
宮崎|3,019|40,988|157|2|2,800|25
鹿児島|3,316|101,034|291|3|2,994|30
沖縄|16,902|218,375|2,621|82|14,139|148
（その他）|149|-|0|-|149|-
合計|741,524|13,668,469|53,676|1,349|672,990|12,963
