都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|457,622|2,567,411|42,927|4|410,019|2,139
青森|88,910|302,845|12,468|0|76,303|139
岩手|54,619|347,454|7,883|0|46,627|109
宮城|134,181|704,248|23,810|11|107,367|212
秋田|45,480|67,328|9,259|1|36,142|79
山形|42,049|212,478|7,838|0|34,117|104
福島|86,148|941,556|12,773|1|73,146|229
茨城|208,508|1,477,266|19,201|2|188,830|477
栃木|127,734|828,757|23,044|5|104,391|299
群馬|129,034|741,384|24,326|3|108,785|343
埼玉|764,132|3,285,211|102,111|29|660,339|1,682
千葉|621,767|2,398,585|56,538|9|512,696|1,865
東京|2,166,733|8,036,199|280,450|23|1,881,614|4,669
神奈川|1,026,334|3,683,405|107,080|48|916,937|2,317
新潟|108,114|762,403|17,538|7|90,483|93
富山|59,166|287,785|12,504|1|46,559|103
石川|83,032|581,359|12,702|0|70,106|201
福井|57,324|379,806|9,749|2|47,521|54
山梨|47,437|415,382|7,175|0|40,237|75
長野|105,762|840,180|11,649|1|90,255|209
岐阜|150,464|1,043,036|23,576|3|124,271|370
静岡|258,906|1,468,792|36,664|3|209,398|448
愛知|782,530|3,170,868|118,901|21|661,470|2,159
三重|125,778|617,937|20,121|0|107,852|338
滋賀|128,047|757,165|18,008|0|109,806|233
京都|288,654|965,615|48,272|94|234,570|768
大阪|1,371,139|8,253,679|209,240|49|1,156,551|5,348
兵庫|594,617|1,887,505|76,979|22|515,325|2,318
奈良|128,901|603,356|21,745|5|106,750|406
和歌山|66,183|221,801|7,181|4|58,590|131
鳥取|27,975|513,399|5,387|0|22,311|23
島根|42,736|286,178|7,469|4|35,227|40
岡山|137,210|677,834|10,686|2|113,178|258
広島|210,828|2,098,726|20,840|6|189,471|517
山口|72,969|661,736|12,113|1|60,658|198
徳島|35,507|254,792|5,357|3|30,090|92
香川|70,251|323,696|9,821|2|60,281|149
愛媛|71,618|454,089|12,876|3|58,591|151
高知|43,564|352,706|6,578|8|36,866|120
福岡|653,283|3,223,682|95,328|10|538,333|1,360
佐賀|87,754|339,724|13,149|0|70,104|134
長崎|94,642|520,537|15,326|1|83,074|147
熊本|179,876|390,039|28,056|10|151,451|369
大分|92,043|710,990|13,557|0|78,298|188
宮崎|93,432|208,759|17,899|1|75,184|169
鹿児島|147,184|533,623|23,906|3|119,856|238
沖縄|358,807|1,035,729|40,152|26|317,985|507
その他（その他）|149|0|0|0|149|0
合計|12,729,133|60,437,035|1,720,212|428|10,868,164|32,577
