都道府県名|陽性者数|PCR検査等実施人数|入院治療等を要する者（人）||退院又は療養解除となった者の数（人）|死亡（累積）（人）
||||うち重症||
北海道|341,406|2,189,284|25,916|6|314,142|2,044
青森|54,044|238,785|2,658|0|51,283|103
岩手|32,601|269,831|2,917|0|29,598|86
宮城|82,835|561,375|3,749|3|78,322|194
秋田|29,101|60,988|1,920|0|27,115|66
山形|26,989|191,348|2,351|1|24,547|91
福島|60,667|804,765|4,501|0|55,948|218
茨城|154,304|1,240,444|3,278|2|150,592|434
栃木|88,381|737,008|3,539|3|84,571|271
群馬|91,535|628,236|3,205|0|88,016|314
埼玉|539,553|2,773,862|11,225|0|526,775|1,553
千葉|441,189|2,045,327|8,387|3|427,808|1,769
東京|1,509,923|6,723,809|44,135|3|1,461,356|4,432
神奈川|737,421|2,180,686|14,250|9|720,998|2,173
新潟|68,411|631,235|3,779|0|64,541|91
富山|35,757|241,445|2,469|1|33,195|93
石川|51,882|428,728|4,248|2|47,417|194
福井|32,827|316,753|1,823|0|30,959|45
山梨|31,127|318,457|933|0|30,132|68
長野|69,928|702,324|3,238|0|66,326|190
岐阜|95,898|858,615|4,823|1|90,110|327
静岡|162,345|1,213,859|8,605|0|152,846|406
愛知|520,079|2,642,476|18,599|4|499,437|2,043
三重|78,772|507,221|3,523|0|76,841|297
滋賀|87,398|618,890|3,140|0|84,039|219
京都|196,368|811,141|8,119|6|186,642|709
大阪|949,838|6,925,573|32,587|20|912,238|5,013
兵庫|410,906|1,527,604|12,464|5|396,220|2,222
奈良|90,131|503,258|3,363|0|86,384|384
和歌山|40,411|168,682|1,590|0|38,496|117
鳥取|14,161|381,978|1,081|0|12,874|18
島根|16,116|202,807|1,157|0|14,944|15
岡山|92,790|568,423|5,287|0|85,600|245
広島|146,658|1,814,903|11,565|1|134,614|479
山口|41,803|555,904|2,851|2|38,777|175
徳島|21,035|207,251|1,165|1|19,796|80
香川|45,639|266,744|2,866|1|42,650|123
愛媛|37,571|351,131|1,915|3|35,517|139
高知|25,895|266,875|2,292|0|23,493|110
福岡|408,843|2,608,658|16,072|4|384,001|1,240
佐賀|50,259|267,291|2,361|0|45,243|105
長崎|52,140|361,179|3,970|0|50,825|124
熊本|93,066|273,830|5,529|4|87,251|286
大分|50,881|568,659|2,847|1|47,875|159
宮崎|49,031|186,663|4,332|1|44,634|140
鹿児島|77,343|397,941|5,000|1|71,451|188
沖縄|198,865|811,093|17,979|13|180,427|455
その他（その他）|149|0|0|0|149|0
合計|8,534,272|49,153,339|333,603|101|8,157,015|30,247
