都道府県名|陽性者数 検査人数※3||％
北海道|17,236|313,908|5.5%
青森 ※3|702|13,090|5.4%
※3※4※5 岩手|495|19,796|2.5%
宮城 ※3※5|3,361|48,167|7.0%
秋田|260|6,370|4.1%
山形|487|14,043|3.5%
福島 ※3|1,707|83,357|2.0%
茨城|4,686|23,081|20.3%
栃木 ※3※5|3,731|103,668|3.6%
群馬 ※3※5|3,775|74,179|5.1%
埼玉 ※4|24,642|444,971|5.5%
千葉|21,787|323,999|6.7%
東京 ※1|98,439|1,302,131|7.6%
神奈川|39,977|491,045|8.1%
新潟 ※3※5|899|36,468|2.5%
富山 ※3※5|863|30,685|2.8%
石川 ※3|1,451|40,305|3.6%
福井 ※3|509|26,472|1.9%
山梨 ※3|898|14,741|6.1%
長野 ※3※5|2,268|80,987|2.8%
岐阜 ※5|4,169|103,126|4.0%
静岡 ※3※4|4,512|139,252|3.2%
※3※4※5 愛知|23,612|309,425|7.6%
三重 ※3|2,146|46,585|4.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※5|2,097|55,114|3.8%
京都|8,200|127,431|6.4%
大阪 ※3※5|43,170|640,347|6.7%
※3※4※5 兵庫|16,059|197,765|8.1%
奈良 ※5|2,988|67,562|4.4%
和歌山|1,047|21,234|4.9%
鳥取 ※3※4|198|33,635|0.6%
島根 ※5|264|12,166|2.2%
岡山 ※4|2,315|51,686|4.5%
広島 ※3|4,726|120,841|3.9%
山口 ※4|1,204|45,815|2.6%
徳島 ※3|383|21,315|1.8%
香川 ※5|626|36,953|1.7%
愛媛|977|25,397|3.8%
高知|841|6,833|12.3%
※3※4※5 福岡|15,367|363,935|4.2%
佐賀 ※3|940|23,699|4.0%
長崎|1,474|55,861|2.6%
熊本|3,318|51,425|6.5%
大分|1,135|62,168|1.8%
宮崎|1,808|22,673|8.0%
鹿児島|1,598|54,720|2.9%
沖縄 ※3|7,431|123,677|6.0%
長崎船 ※2 その他|149|0|-
合計|380,927|6,312,103|6.0%
