都道府県名|陽性者数 検査人数※3||％
北海道|2,986|80,053|3.7%
青森 ※3|222|4,814|4.6%
※3※4※5 岩手|27|5,309|0.5%
宮城 ※3※5|689|13,900|5.0%
秋田|61|2,487|2.5%
山形|86|6,112|1.4%
福島 ※3|387|28,967|1.3%
茨城|764|13,826|5.5%
栃木 ※3※5|487|41,890|1.2%
群馬 ※3※5|894|29,150|3.1%
埼玉 ※4|5,826|184,831|3.2%
千葉|4,997|125,480|4.0%
東京 ※1|30,881|595,581|5.2%
神奈川|8,646|199,811|4.3%
新潟 ※3※5|183|17,727|1.0%
富山 ※3※5|423|14,487|2.9%
石川 ※3|806|17,083|4.7%
福井 ※3|256|11,058|2.3%
山梨 ※3|212|11,693|1.8%
長野 ※3※5|339|23,025|1.5%
岐阜 ※5|681|26,803|2.5%
静岡 ※3※4|636|42,455|1.5%
※3※4※5 愛知|6,079|97,852|6.2%
三重 ※3|563|15,683|3.6%
都道府県名|陽性者数 検査人数※3||％
滋賀 ※3※5|547|14,156|3.9%
京都|2,014|52,347|3.8%
大阪 ※3※5|12,610|234,636|5.4%
※3※4※5 兵庫|3,202|68,117|4.7%
奈良 ※5|639|24,620|2.6%
和歌山|274|10,406|2.6%
鳥取 ※3|38|5,770|0.7%
島根 ※5|141|6,245|2.3%
岡山 ※4|273|11,198|2.4%
広島 ※3|659|27,466|2.4%
山口 ※4|213|11,913|1.8%
徳島 ※3|164|7,462|2.2%
香川 ※5|101|13,467|0.7%
愛媛|116|4,371|2.7%
高知|144|3,640|4.0%
※3※4※5 福岡|5,217|163,838|3.2%
佐賀 ※3|254|7,074|3.6%
長崎|244|22,311|1.1%
熊本|786|19,224|4.1%
大分|159|20,779|0.8%
宮崎|367|8,791|4.2%
鹿児島|468|22,179|2.1%
沖縄 ※3|3,304|57,775|5.7%
長崎船 ※2 その他|149|0|-
合計|99,214|2,427,862|4.1%
