都道府県名|陽性者数 検査人数||％
北海道|18,493|351,821|5.3%
青森|805|16,347|4.9%
岩手|521|22,490|2.3%
宮城|3,498|49,684|7.0%
秋田|269|6,879|3.9%
山形|534|16,510|3.2%
福島|1,833|97,855|1.9%
茨城|5,372|24,378|22.0%
栃木|3,962|117,669|3.4%
群馬|4,265|83,749|5.1%
埼玉|27,764|503,852|5.5%
千葉|24,584|371,396|6.6%
東京|106,505|1,423,473|7.5%
神奈川|43,264|542,742|8.0%
新潟|1,005|40,354|2.5%
富山|887|33,471|2.7%
石川|1,682|45,716|3.7%
福井|530|28,950|1.8%
山梨|919|14,741|6.2%
長野|2,345|90,739|2.6%
岐阜|4,577|119,648|3.8%
静岡|4,845|164,992|2.9%
愛知|25,128|353,866|7.1%
三重|2,389|56,417|4.2%
都道府県名|陽性者数 検査人数||％
滋賀|2,316|64,703|3.6%
京都|8,846|143,753|6.2%
大阪|45,947|720,445|6.4%
兵庫|17,470|226,475|7.7%
奈良|3,268|75,362|4.3%
和歌山|1,147|23,811|4.8%
鳥取|207|37,425|0.6%
島根|280|13,515|2.1%
岡山|2,445|60,138|4.1%
広島|4,939|139,356|3.5%
山口|1,354|52,858|2.6%
徳島|426|23,983|1.8%
香川|721|41,673|1.7%
愛媛|1,029|29,642|3.5%
高知|876|7,038|12.4%
福岡|17,327|408,188|4.2%
佐賀|995|25,949|3.8%
長崎|1,580|63,103|2.5%
熊本|3,403|55,648|6.1%
大分|1,262|72,664|1.7%
宮崎|1,906|24,475|7.8%
鹿児島|1,724|61,770|2.8%
沖縄|7,990|136,508|5.9%
長崎船 その他|149|0|-
合計|413,583|7,086,221|5.8%
